time_ms,ax,ay,az,gx,gy,gz,label
359193,12016,-3132,12852,-1476,657,291,align_flanges
359215,12820,-2684,12024,-3594,177,398,align_flanges
359237,13528,-3072,11200,-5839,662,671,align_flanges
359259,14372,-4812,11276,-4872,2061,548,align_flanges
359281,14828,-4288,12164,-4547,4310,682,align_flanges
359303,15048,-4224,12876,-6785,4543,1136,align_flanges
359325,14480,-5020,12608,-8383,4134,1762,align_flanges
359347,14404,-5128,12640,-7139,4668,2118,align_flanges
359369,14028,-5292,12376,-6293,4854,2592,align_flanges
359391,13632,-5712,11532,-6366,5177,3027,align_flanges
359413,13020,-6596,11664,-6404,4622,3401,align_flanges
359435,12032,-6152,11660,-5958,4572,3502,align_flanges
359457,11032,-6196,11884,-5548,3967,3315,align_flanges
359479,9992,-6228,11576,-4893,3922,2894,align_flanges
359501,9176,-6076,11856,-5187,3912,2041,align_flanges
359523,8388,-6104,11820,-5494,3966,1831,align_flanges
359545,6664,-6668,10976,-6335,3257,1404,align_flanges
359567,6384,-7128,11236,-5742,2956,1295,align_flanges
359589,5852,-7380,11824,-4907,2160,1413,align_flanges
359611,5776,-7568,12192,-2481,1397,1023,align_flanges
359633,5216,-7116,11588,-1343,849,588,align_flanges
359655,5460,-7316,11292,-1242,-135,60,align_flanges
359677,5716,-7016,11548,-1331,159,456,align_flanges
359699,6100,-7852,12248,-1649,-23,679,align_flanges
359721,6056,-8012,12352,-486,27,825,align_flanges
359743,6312,-8100,12340,8,-70,653,align_flanges
359765,6760,-8244,12680,587,-197,457,align_flanges
359787,7112,-8228,12476,118,-25,493,align_flanges
359809,7688,-8812,12944,-87,66,555,align_flanges
359831,7872,-8476,12948,-632,430,904,align_flanges
359853,8236,-8816,13096,-813,588,1137,align_flanges
359875,8384,-8500,12752,-187,966,1377,align_flanges
359897,8228,-8532,12536,31,1210,1806,align_flanges
359919,8348,-8304,12544,525,1382,1973,align_flanges
359941,8152,-7960,12432,177,1207,1971,align_flanges
359963,8088,-7888,12212,-307,731,1791,align_flanges
359985,8044,-7772,11884,-188,450,1596,align_flanges
360007,8144,-8120,12172,246,103,1283,align_flanges
360029,8240,-8072,12260,1906,234,1163,align_flanges
360051,7988,-8052,12048,1881,211,1162,align_flanges
360073,8032,-7892,12000,1625,438,1197,align_flanges
360095,7664,-7796,11840,726,152,1109,align_flanges
360117,7824,-8096,12212,786,225,538,align_flanges
360139,7736,-8128,12404,1422,274,99,align_flanges
360161,7808,-8200,12212,1224,17,-199,align_flanges
360183,7940,-8228,12100,1092,374,-307,align_flanges
360205,7896,-8232,12068,225,585,-190,align_flanges
360227,7976,-8300,12400,135,858,-286,align_flanges
360249,7852,-8188,12352,-38,922,-372,align_flanges
360271,8060,-8252,12488,-30,926,-444,align_flanges
360293,7976,-8116,12316,-411,885,-417,align_flanges
360315,8028,-8208,12172,-543,1051,-419,align_flanges
360337,7856,-7836,12352,-659,1305,-345,align_flanges
360359,7720,-7836,12420,-822,1235,-414,align_flanges
360381,7752,-7728,12512,-891,1393,-370,align_flanges
360403,7868,-7960,12564,-1172,1770,-278,align_flanges
360425,7768,-8044,12596,-1232,2228,-213,align_flanges
360447,7856,-8140,12808,-1177,2546,-284,align_flanges
360469,7680,-7992,12932,-1398,2737,-388,align_flanges
360491,7532,-8088,13020,-2072,2312,-440,align_flanges
360513,7500,-8264,13016,-2419,2031,-322,align_flanges
360535,7364,-8420,12624,-2056,1888,-104,align_flanges
360557,7136,-8236,12676,-1390,1921,125,align_flanges
360579,6996,-8012,12656,-1180,1690,272,align_flanges
360601,6892,-8076,12560,-1228,1414,430,align_flanges
360623,6700,-7836,12800,-1432,896,354,align_flanges
360645,6792,-8012,12736,-1077,415,217,align_flanges
360667,6724,-7956,12860,-580,282,220,align_flanges
360689,6692,-7904,12684,-588,145,330,align_flanges
360711,6880,-8036,12820,-656,15,361,align_flanges
360733,6924,-8068,12840,-349,-17,455,align_flanges
360755,7000,-8116,12992,-32,193,370,align_flanges
360777,7088,-8088,12908,-140,-13,268,align_flanges
360799,7276,-8168,12904,-474,-98,183,align_flanges
360821,7472,-8316,13036,-500,2,90,align_flanges
360843,7500,-8268,12720,-479,188,91,align_flanges
360865,7472,-8212,12704,-571,573,232,align_flanges
360887,7336,-8172,12700,-899,574,278,align_flanges
360909,7232,-8304,12604,-1216,389,218,align_flanges
360931,7216,-8444,12636,-1220,262,180,align_flanges
