time_ms,ax,ay,az,gx,gy,gz,label
379763,3824,-4940,15632,-376,269,216,clean_inspect
379785,3720,-4980,15840,-218,83,149,clean_inspect
379807,3660,-5052,15848,-194,25,33,clean_inspect
379829,3688,-5028,15728,-232,104,2,clean_inspect
379851,3772,-5016,15820,-291,348,22,clean_inspect
379873,3684,-4976,15752,-246,566,107,clean_inspect
379895,3540,-5136,15668,-372,677,183,clean_inspect
379917,3344,-5192,15600,-421,516,245,clean_inspect
379939,3576,-5132,15680,-230,396,256,clean_inspect
379961,3624,-5304,15712,112,230,301,clean_inspect
379983,3684,-5328,15712,235,268,458,clean_inspect
380005,3540,-4984,15720,121,276,743,clean_inspect
380027,3344,-4992,15624,-8,115,721,clean_inspect
380049,3272,-4964,15508,197,-36,670,clean_inspect
380071,3440,-4992,15844,267,-164,563,clean_inspect
380093,3620,-5032,15948,199,-37,447,clean_inspect
380115,3756,-5148,15996,-52,156,379,clean_inspect
380137,3692,-5112,15792,-216,517,451,clean_inspect
380159,3640,-5036,15716,257,617,402,clean_inspect
380181,3616,-5008,15784,842,537,271,clean_inspect
380203,3724,-4836,15660,584,453,76,clean_inspect
380225,3776,-4780,15680,-268,407,-132,clean_inspect
380247,3852,-4884,15568,-293,388,-207,clean_inspect
380269,3796,-4752,15600,223,280,-258,clean_inspect
380291,3868,-4536,15568,456,169,-296,clean_inspect
380313,3864,-4692,15636,-329,80,-441,clean_inspect
380335,3908,-4720,15704,-1017,23,-567,clean_inspect
380357,3648,-4856,15796,-849,-160,-476,clean_inspect
380379,3656,-4896,15928,-508,-105,-269,clean_inspect
380401,3644,-4888,16048,-11,-168,-25,clean_inspect
380423,3576,-4812,16192,-275,-233,274,clean_inspect
380445,3676,-4856,16028,-345,-96,450,clean_inspect
380467,3612,-4612,15772,-37,39,661,clean_inspect
380489,3592,-4752,15724,110,-28,767,clean_inspect
380511,3728,-4640,15792,244,-225,731,clean_inspect
380533,3824,-4672,16088,149,-413,665,clean_inspect
380555,3948,-4920,16068,142,-308,565,clean_inspect
380577,3884,-4896,15992,46,-154,627,clean_inspect
380599,3944,-4692,16136,26,36,617,clean_inspect
380621,3832,-4760,15920,-187,39,514,clean_inspect
380643,3792,-4804,15880,-49,161,423,clean_inspect
380665,3784,-4620,15776,-26,171,476,clean_inspect
380687,3712,-4760,15668,-36,156,349,clean_inspect
380709,3732,-4564,15736,-210,236,290,clean_inspect
380731,3728,-4772,15796,-315,177,190,clean_inspect
380753,3760,-4712,15948,-244,156,136,clean_inspect
380775,3860,-4736,15972,-155,194,37,clean_inspect
380797,3864,-4768,15720,-296,323,48,clean_inspect
380819,3760,-4604,15812,-541,333,24,clean_inspect
380841,3756,-4584,15696,-574,347,-97,clean_inspect
380863,3768,-4560,15692,-487,304,-167,clean_inspect
380885,3684,-4664,15724,-341,121,-226,clean_inspect
380907,3844,-4648,15724,-349,137,-221,clean_inspect
380929,3828,-4700,15816,-522,159,-219,clean_inspect
380951,3700,-4612,16052,-317,159,-172,clean_inspect
380973,3788,-4912,16104,-313,29,-219,clean_inspect
380995,3944,-4868,15892,-187,156,-145,clean_inspect
381017,3860,-4912,16068,-189,255,-71,clean_inspect
381039,3844,-4788,15920,-312,331,-75,clean_inspect
381061,3820,-4896,15976,-189,271,-99,clean_inspect
381083,3712,-4904,15976,3,246,-103,clean_inspect
381105,3916,-4988,15984,532,312,-39,clean_inspect
381127,3788,-4848,15764,347,472,105,clean_inspect
