time_ms,ax,ay,az,gx,gy,gz,label
1199505,12008,-1412,14560,1172,1034,558,insert_bolts
1199527,12924,-2120,13908,-1827,598,169,insert_bolts
1199549,13080,-1672,11268,-4864,1997,379,insert_bolts
1199571,13880,-3692,10804,-5509,2155,1971,insert_bolts
1199593,14968,-5520,12936,-3151,5271,4262,insert_bolts
1199615,14024,-5408,13760,-4561,6212,5052,insert_bolts
1199637,14812,-4432,14472,-5090,4451,5640,insert_bolts
1199659,14460,-4296,14448,-5602,4989,5847,insert_bolts
1199681,14132,-4776,14424,-5527,6027,5953,insert_bolts
1199703,12992,-4624,13932,-6318,5994,5637,insert_bolts
1199725,12832,-4200,14404,-7186,6673,5913,insert_bolts
1199747,11484,-4624,14428,-6523,7339,5615,insert_bolts
1199769,10680,-3440,14280,-5698,7703,5252,insert_bolts
1199791,9896,-4028,14296,-6254,8048,5109,insert_bolts
1199813,8928,-4956,14676,-5439,7588,4447,insert_bolts
1199835,7584,-4348,14220,-4835,7657,3943,insert_bolts
1199857,5980,-3984,13304,-3520,7116,3355,insert_bolts
1199879,5360,-3876,13120,-1917,7215,3300,insert_bolts
1199901,4612,-4936,13900,-1208,6273,3201,insert_bolts
1199923,4264,-4512,14044,71,5725,2959,insert_bolts
1199945,3068,-4404,13308,469,4589,2450,insert_bolts
1199967,2412,-4152,12836,1327,4054,1856,insert_bolts
1199989,2304,-4668,13404,2384,3263,1759,insert_bolts
1200011,2664,-4512,13444,3002,2538,1290,insert_bolts
1200033,2616,-4716,13572,3384,2162,990,insert_bolts
1200055,2796,-4316,13572,1973,1866,711,insert_bolts
1200077,3040,-5336,13728,970,1021,731,insert_bolts
1200099,3648,-5344,14868,1399,656,347,insert_bolts
1200121,4500,-5652,15148,2698,501,-55,insert_bolts
1200143,4076,-5204,14272,2793,1196,-677,insert_bolts
1200165,4456,-4752,13980,1879,1424,-1041,insert_bolts
1200187,4504,-4852,14636,751,2254,-831,insert_bolts
1200209,4416,-4956,14964,562,2604,-1004,insert_bolts
1200231,4404,-4920,15060,787,2485,-1553,insert_bolts
1200253,4568,-4880,14844,955,2467,-1701,insert_bolts
1200275,4612,-4716,14596,-27,1934,-1664,insert_bolts
1200297,4552,-4464,14508,-964,1736,-1605,insert_bolts
1200319,4564,-5072,15108,-816,1606,-1613,insert_bolts
1200341,4608,-4924,15192,-278,1380,-1602,insert_bolts
1200363,4492,-4572,14932,-303,1050,-1634,insert_bolts
1200385,4328,-4920,15128,-755,501,-1320,insert_bolts
1200407,4680,-4784,15224,-653,479,-1082,insert_bolts
1200429,4500,-4700,15180,-575,489,-867,insert_bolts
1200451,4316,-4632,14696,-919,553,-696,insert_bolts
1200473,4540,-5004,15160,-197,436,-450,insert_bolts
1200495,4616,-4860,15356,718,477,-514,insert_bolts
1200517,4636,-4704,15440,760,249,-608,insert_bolts
1200539,4808,-4592,15584,77,80,-487,insert_bolts
1200561,4776,-4780,15656,-686,-122,-341,insert_bolts
1200583,4912,-4776,15592,-166,377,-393,insert_bolts
1200605,4672,-5024,15772,322,520,-328,insert_bolts
1200627,4776,-4760,15884,411,598,-241,insert_bolts
1200649,4480,-4572,15788,-474,524,-161,insert_bolts
1200671,4444,-4876,15604,-866,372,-211,insert_bolts
1200693,4548,-5064,15716,-362,379,-238,insert_bolts
1200715,4376,-4876,15448,487,556,-261,insert_bolts
1200737,4516,-4684,15772,354,451,-79,insert_bolts
1200759,4344,-4508,15492,-554,125,177,insert_bolts
1200781,4428,-4640,15684,-1007,66,-3,insert_bolts
1200803,4520,-4872,15440,-52,325,-178,insert_bolts
1200825,4468,-4748,15596,288,344,-85,insert_bolts
1200847,4508,-4716,15736,-27,166,-73,insert_bolts
1200869,4484,-4748,15512,-403,206,-32,insert_bolts
1200891,4608,-4892,15728,-462,146,81,insert_bolts
1200913,4544,-4984,15560,100,260,88,insert_bolts
1200935,4772,-4644,15656,245,154,184,insert_bolts
1200957,4628,-4736,15524,-24,159,161,insert_bolts
1200979,4756,-4468,15716,-363,219,97,insert_bolts
1201001,4548,-4864,15472,-727,195,178,insert_bolts
1201023,4588,-4744,15684,-346,204,122,insert_bolts
1201045,4444,-4796,15292,-221,100,118,insert_bolts
1201067,4560,-4744,15384,62,-11,143,insert_bolts
1201089,4616,-4760,15448,-453,-92,248,insert_bolts
1201111,4640,-4968,15620,-409,12,317,insert_bolts
1201133,4592,-4872,15588,-339,0,271,insert_bolts
1201155,4608,-4864,15520,-83,-15,211,insert_bolts
1201177,4672,-4792,15536,-32,39,124,insert_bolts
1201199,4688,-4584,15616,-459,165,201,insert_bolts
1201221,4696,-4936,15748,-843,185,223,insert_bolts
1201243,4540,-4916,15576,-595,308,190,insert_bolts
1201265,4548,-4972,15504,-280,179,222,insert_bolts
1201287,4480,-4792,15288,-179,85,265,insert_bolts
1201309,4728,-4752,15624,-554,-71,288,insert_bolts
1201331,4672,-4956,15556,-808,-51,320,insert_bolts
1201353,4576,-5072,15508,-622,123,317,insert_bolts
1201375,4496,-5108,15536,-121,228,335,insert_bolts
1201397,4520,-4800,15564,-114,21,324,insert_bolts
1201419,4572,-4868,15432,-420,-52,288,insert_bolts
1201441,4748,-4768,15448,-247,24,274,insert_bolts
1201463,4688,-5008,15516,15,41,221,insert_bolts
1201485,4700,-4808,15344,59,65,163,insert_bolts
1201507,4848,-4828,15648,-462,-189,202,insert_bolts
1201529,5004,-4868,15712,-471,14,149,insert_bolts
1201551,4652,-5044,15528,-180,251,172,insert_bolts
1201573,4632,-4924,15616,165,385,208,insert_bolts
1201595,4704,-4732,15768,299,368,194,insert_bolts
1201617,4644,-4704,15636,-26,211,81,insert_bolts
1201639,4844,-4760,15560,-281,295,-63,insert_bolts
1201661,4692,-4836,15564,-301,478,15,insert_bolts
1201683,4840,-4976,15568,49,443,139,insert_bolts
1201705,4692,-4788,15588,201,207,287,insert_bolts
1201727,4744,-4840,15400,131,-12,176,insert_bolts
1201749,4796,-4748,15420,157,-78,119,insert_bolts
1201771,4732,-4724,15472,44,4,153,insert_bolts
1201793,4708,-4704,15356,-137,48,129,insert_bolts
1201815,4668,-4684,15300,-230,22,81,insert_bolts
1201837,4684,-4736,15220,-390,-109,-29,insert_bolts
1201859,4668,-4656,15444,-692,-117,-109,insert_bolts
1201881,4760,-4852,15616,-483,92,-221,insert_bolts
1201903,4700,-4924,15468,-267,256,-216,insert_bolts
1201925,4644,-5056,15328,-271,149,-129,insert_bolts
1201947,4672,-4864,15140,-659,-112,-15,insert_bolts
1201969,4632,-5236,15028,-634,-261,115,insert_bolts
1201991,4248,-5328,14556,-631,-558,388,insert_bolts
1202013,4000,-5516,14220,-813,-1092,779,insert_bolts
1202035,3680,-5648,13596,-1462,-1897,1251,insert_bolts
1202057,3632,-5984,13092,-1229,-2949,1632,insert_bolts
1202079,3568,-5940,13284,-371,-3923,2219,insert_bolts
1202101,3648,-5632,13832,-107,-4808,2667,insert_bolts
1202123,4008,-5660,13920,-16,-5808,2480,insert_bolts
1202145,4520,-5652,13948,-208,-6557,2514,insert_bolts
1202167,4860,-5684,14796,-1972,-6720,2852,insert_bolts
1202189,4936,-6308,14272,-3161,-6803,3122,insert_bolts
1202211,5256,-6624,13936,-2300,-6606,3176,insert_bolts
1202233,5316,-6192,13944,-2012,-6222,3584,insert_bolts
1202255,5588,-6808,14036,223,-6729,3375,insert_bolts
1202277,6216,-6536,14072,1369,-7184,3443,insert_bolts
1202299,6436,-6680,13140,1631,-7873,3355,insert_bolts
1202321,7248,-5960,13344,2297,-7586,3563,insert_bolts
1202343,7452,-5188,13700,1490,-6707,3651,insert_bolts
1202365,8184,-5956,13588,1134,-7231,3558,insert_bolts
1202387,8788,-7064,13428,2670,-7524,2987,insert_bolts
1202409,9316,-6132,13544,4414,-6258,2597,insert_bolts
1202431,9632,-4952,13456,4913,-5745,2482,insert_bolts
1202453,9684,-4924,13816,3928,-5475,2500,insert_bolts
1202475,10392,-5312,13856,3110,-5688,2253,insert_bolts
1202497,10948,-5400,13764,3621,-5302,2013,insert_bolts
1202519,10680,-4824,13460,3555,-4162,1818,insert_bolts
