time_ms,ax,ay,az,gx,gy,gz,label
2315983,12872,-20,10668,-635,29,408,insert_bolts_hand_tighten
2316005,13208,-80,10456,-1184,-806,320,insert_bolts_hand_tighten
2316027,13516,-248,10544,-1372,232,-43,insert_bolts_hand_tighten
2316049,14304,-12,10904,-2102,991,73,insert_bolts_hand_tighten
2316071,14896,-208,10504,-4367,1270,413,insert_bolts_hand_tighten
2316093,15712,-460,11196,-5787,3039,667,insert_bolts_hand_tighten
2316115,16508,48,12512,-7232,5416,1403,insert_bolts_hand_tighten
2316137,16684,-768,12584,-9910,7395,2306,insert_bolts_hand_tighten
2316159,16088,-2264,12364,-10993,8944,2871,insert_bolts_hand_tighten
2316181,16212,-1976,12880,-10495,10433,3476,insert_bolts_hand_tighten
2316203,15124,-2320,12772,-12082,10951,3802,insert_bolts_hand_tighten
2316225,14580,-2420,12292,-12429,10779,4026,insert_bolts_hand_tighten
2316247,13624,-2920,12536,-12485,10955,4360,insert_bolts_hand_tighten
2316269,12864,-2984,13124,-11942,11736,4077,insert_bolts_hand_tighten
2316291,11396,-4320,13412,-11308,11410,3437,insert_bolts_hand_tighten
2316313,10028,-4108,12632,-10285,10297,2106,insert_bolts_hand_tighten
2316335,9224,-4364,12516,-9465,9842,1059,insert_bolts_hand_tighten
2316357,8524,-4252,12164,-9819,9654,187,insert_bolts_hand_tighten
2316379,8380,-5016,12628,-10084,9488,-196,insert_bolts_hand_tighten
2316401,7640,-6168,12632,-10520,9742,-471,insert_bolts_hand_tighten
2316423,6844,-7124,12196,-10067,9568,-496,insert_bolts_hand_tighten
2316445,6588,-7552,11544,-8632,8834,-747,insert_bolts_hand_tighten
2316467,6092,-7968,11676,-6592,8582,-205,insert_bolts_hand_tighten
2316489,6112,-8572,12268,-4895,7706,678,insert_bolts_hand_tighten
2316511,6188,-8136,12784,-3031,6979,1235,insert_bolts_hand_tighten
2316533,5984,-8376,12728,-1089,6202,767,insert_bolts_hand_tighten
2316555,5964,-7952,12260,-300,6314,462,insert_bolts_hand_tighten
2316577,5612,-7272,12248,-713,6989,211,insert_bolts_hand_tighten
2316599,4960,-7600,12792,-1562,7642,-115,insert_bolts_hand_tighten
2316621,4492,-7704,12992,-2470,7107,-534,insert_bolts_hand_tighten
2316643,4212,-8268,12820,-1743,6826,-1303,insert_bolts_hand_tighten
2316665,3864,-8432,12272,-1197,6051,-1871,insert_bolts_hand_tighten
2316687,3620,-7872,11864,-1989,5463,-2036,insert_bolts_hand_tighten
2316709,3432,-8672,12512,-1421,5260,-2081,insert_bolts_hand_tighten
2316731,3252,-9792,12932,2917,5693,-2220,insert_bolts_hand_tighten
2316753,3008,-9796,12892,8522,7004,-2392,insert_bolts_hand_tighten
2316775,2036,-8080,12792,8576,6316,-2493,insert_bolts_hand_tighten
2316797,2200,-6328,12836,3213,3760,-2661,insert_bolts_hand_tighten
2316819,2508,-6672,13664,-2609,2561,-2777,insert_bolts_hand_tighten
2316841,2940,-7956,14024,-4732,2323,-3336,insert_bolts_hand_tighten
2316863,2868,-8628,14104,-2780,2554,-3275,insert_bolts_hand_tighten
2316885,2668,-8788,14016,197,2655,-2521,insert_bolts_hand_tighten
2316907,3024,-8252,13848,1057,732,-1321,insert_bolts_hand_tighten
2316929,3148,-8132,13472,336,-784,-165,insert_bolts_hand_tighten
2316951,3356,-8628,13916,766,-1229,712,insert_bolts_hand_tighten
2316973,3464,-8188,14424,2192,-985,1245,insert_bolts_hand_tighten
2316995,3132,-7096,14060,2143,-1194,1833,insert_bolts_hand_tighten
2317017,3160,-6808,13256,363,-1756,2363,insert_bolts_hand_tighten
2317039,3596,-7464,12904,-509,-2685,2921,insert_bolts_hand_tighten
2317061,3440,-7908,13704,1253,-2989,3349,insert_bolts_hand_tighten
2317083,3080,-6788,13836,2456,-3034,3615,insert_bolts_hand_tighten
2317105,3404,-6420,13652,1757,-3686,3818,insert_bolts_hand_tighten
2317127,3644,-7920,13164,712,-3830,3972,insert_bolts_hand_tighten
2317149,3912,-7876,13904,686,-3671,4047,insert_bolts_hand_tighten
2317171,3632,-7368,14984,1621,-2685,3367,insert_bolts_hand_tighten
2317193,3528,-5944,14884,599,-2194,2933,insert_bolts_hand_tighten
2317215,3752,-6180,14744,-644,-1821,2663,insert_bolts_hand_tighten
2317237,4132,-7824,15412,-11,-1143,2639,insert_bolts_hand_tighten
2317259,4184,-7760,15908,828,-342,2605,insert_bolts_hand_tighten
2317281,4028,-7020,16216,221,135,2527,insert_bolts_hand_tighten
2317303,3848,-7048,16132,-1093,398,2491,insert_bolts_hand_tighten
2317325,3608,-7064,15780,-2031,629,2221,insert_bolts_hand_tighten
2317347,3676,-7624,15768,-1714,994,1816,insert_bolts_hand_tighten
2317369,4036,-7604,15740,284,1096,1617,insert_bolts_hand_tighten
2317391,3928,-7012,15488,1469,1028,1585,insert_bolts_hand_tighten
2317413,3984,-6400,14952,915,482,1467,insert_bolts_hand_tighten
2317435,4168,-6492,14608,-342,145,1381,insert_bolts_hand_tighten
2317457,4164,-6804,14384,-579,519,1211,insert_bolts_hand_tighten
2317479,4084,-6972,14244,-416,435,992,insert_bolts_hand_tighten
2317501,4052,-6760,14292,446,367,1027,insert_bolts_hand_tighten
2317523,3772,-6612,14184,478,-340,969,insert_bolts_hand_tighten
2317545,3700,-6476,13976,88,-660,668,insert_bolts_hand_tighten
2317567,3940,-6836,13736,-488,-1269,366,insert_bolts_hand_tighten
2317589,4236,-7236,14400,144,-735,270,insert_bolts_hand_tighten
2317611,4088,-7460,14620,380,-407,200,insert_bolts_hand_tighten
2317633,4104,-7592,14940,447,-706,119,insert_bolts_hand_tighten
2317655,4000,-7664,14768,243,-1083,20,insert_bolts_hand_tighten
2317677,4072,-7428,14636,-69,-1361,29,insert_bolts_hand_tighten
2317699,4216,-7840,14420,-249,-1218,229,insert_bolts_hand_tighten
2317721,4224,-8284,15124,698,-483,526,insert_bolts_hand_tighten
2317743,3840,-7752,15080,874,-592,741,insert_bolts_hand_tighten
2317765,3832,-7448,15064,575,-973,782,insert_bolts_hand_tighten
2317787,3936,-7332,14796,312,-1075,754,insert_bolts_hand_tighten
2317809,3944,-7520,14852,463,-925,863,insert_bolts_hand_tighten
2317831,4024,-6900,14892,506,-478,897,insert_bolts_hand_tighten
2317853,4196,-7288,14900,381,-223,993,insert_bolts_hand_tighten
2317875,4152,-7248,15232,716,331,1175,insert_bolts_hand_tighten
2317897,4028,-6932,14684,349,287,1037,insert_bolts_hand_tighten
2317919,4072,-6992,14848,124,238,998,insert_bolts_hand_tighten
2317941,4112,-6540,14840,349,258,838,insert_bolts_hand_tighten
2317963,4176,-6688,14432,487,199,579,insert_bolts_hand_tighten
2317985,4268,-6732,14540,483,309,403,insert_bolts_hand_tighten
2318007,4212,-6460,14576,172,343,225,insert_bolts_hand_tighten
2318029,4204,-6516,14636,-533,210,226,insert_bolts_hand_tighten
2318051,4196,-6716,14408,-492,286,95,insert_bolts_hand_tighten
2318073,4136,-6900,14492,-214,60,87,insert_bolts_hand_tighten
2318095,4320,-6668,14664,-145,-15,29,insert_bolts_hand_tighten
2318117,4336,-7008,14640,-400,-59,-41,insert_bolts_hand_tighten
2318139,4344,-6724,14744,-549,99,-27,insert_bolts_hand_tighten
2318161,4120,-7156,14472,-557,79,-8,insert_bolts_hand_tighten
2318183,4072,-7112,14740,-268,3,57,insert_bolts_hand_tighten
2318205,4040,-7104,14628,-325,-288,35,insert_bolts_hand_tighten
2318227,4192,-7044,14652,-286,-326,-54,insert_bolts_hand_tighten
2318249,4204,-7072,14632,-425,-279,-28,insert_bolts_hand_tighten
2318271,4296,-7196,14888,-478,-124,-94,insert_bolts_hand_tighten
2318293,4320,-7176,14848,-583,-33,-16,insert_bolts_hand_tighten
2318315,4320,-7280,14988,-440,-89,-70,insert_bolts_hand_tighten
2318337,4252,-7016,14804,-233,70,9,insert_bolts_hand_tighten
2318359,4176,-7188,15088,-279,-166,-1,insert_bolts_hand_tighten
2318381,4328,-6808,14484,-415,-113,-75,insert_bolts_hand_tighten
2318403,4308,-6908,14620,-283,-80,-150,insert_bolts_hand_tighten
2318425,4308,-6844,14916,-113,-118,-120,insert_bolts_hand_tighten
2318447,4464,-6872,14564,-116,-213,-152,insert_bolts_hand_tighten
2318469,4508,-6984,15076,72,-39,-170,insert_bolts_hand_tighten
2318491,4568,-6764,14740,-192,100,-219,insert_bolts_hand_tighten
2318513,4444,-6764,14772,-394,365,-236,insert_bolts_hand_tighten
2318535,4340,-6956,14836,-409,304,-397,insert_bolts_hand_tighten
2318557,4264,-6708,14460,-55,181,-492,insert_bolts_hand_tighten
2318579,4280,-6896,14480,282,122,-558,insert_bolts_hand_tighten
2318601,4304,-6748,14852,118,52,-454,insert_bolts_hand_tighten
2318623,4508,-6908,14676,-330,-111,-418,insert_bolts_hand_tighten
2318645,4532,-7032,14712,-576,-6,-332,insert_bolts_hand_tighten
2318667,4540,-7156,14848,-363,37,-264,insert_bolts_hand_tighten
2318689,4544,-7168,14780,-261,207,-162,insert_bolts_hand_tighten
2318711,4532,-7316,15112,-475,300,-62,insert_bolts_hand_tighten
2318733,4868,-7696,15584,-679,296,19,insert_bolts_hand_tighten
2318755,4996,-8008,15536,-893,809,317,insert_bolts_hand_tighten
2318777,4636,-7408,15040,-1375,1400,583,insert_bolts_hand_tighten
2318799,4224,-7428,14752,-1805,1407,684,insert_bolts_hand_tighten
2318821,3912,-7112,14468,-1653,1367,581,insert_bolts_hand_tighten
2318843,3864,-7064,14316,-1429,980,374,insert_bolts_hand_tighten
2318865,3812,-6700,14228,-1137,745,213,insert_bolts_hand_tighten
2318887,3944,-6660,13872,-1189,469,84,insert_bolts_hand_tighten
2318909,3968,-6716,13944,-1085,482,-3,insert_bolts_hand_tighten
2318931,4040,-7156,14152,-302,195,-231,insert_bolts_hand_tighten
2318953,4400,-6884,14288,58,-2,-368,insert_bolts_hand_tighten
2318975,4428,-6856,14228,-441,-254,-411,insert_bolts_hand_tighten
2318997,4684,-7316,14484,-417,-185,-465,insert_bolts_hand_tighten
2319019,4580,-7320,14516,-57,13,-456,insert_bolts_hand_tighten
2319041,4508,-7288,14492,-12,20,-409,insert_bolts_hand_tighten
2319063,4540,-7216,14232,-328,-133,-527,insert_bolts_hand_tighten
2319085,4540,-7236,14512,-549,-263,-565,insert_bolts_hand_tighten
2319107,4700,-7312,14388,-819,-407,-717,insert_bolts_hand_tighten
2319129,4524,-7192,14132,-819,-148,-763,insert_bolts_hand_tighten
2319151,4400,-7044,13996,-655,-92,-751,insert_bolts_hand_tighten
2319173,4136,-6840,13888,-654,-170,-851,insert_bolts_hand_tighten
2319195,3948,-6612,13752,-916,-298,-992,insert_bolts_hand_tighten
2319217,3716,-6184,13368,-1562,-541,-1457,insert_bolts_hand_tighten
2319239,3716,-6236,13544,-1918,-910,-2075,insert_bolts_hand_tighten
2319261,3848,-5768,13316,-2256,-904,-2545,insert_bolts_hand_tighten
2319283,3960,-5860,13264,-2380,-271,-3438,insert_bolts_hand_tighten
2319305,3896,-5892,13376,-2929,-1335,-3812,insert_bolts_hand_tighten
2319327,3924,-5588,13560,-3428,-1772,-4411,insert_bolts_hand_tighten
2319349,4148,-5924,13420,-4215,-2598,-5341,insert_bolts_hand_tighten
2319371,4548,-6440,13748,-3453,-2605,-5816,insert_bolts_hand_tighten
2319393,4496,-6172,12968,-3239,-2903,-6265,insert_bolts_hand_tighten
2319415,4996,-7352,12892,-1642,-2878,-6637,insert_bolts_hand_tighten
2319437,5204,-6604,12652,-946,-3186,-6502,insert_bolts_hand_tighten
2319459,5536,-6416,12736,-1596,-3424,-6881,insert_bolts_hand_tighten
2319481,6060,-6756,12704,-2539,-3635,-7519,insert_bolts_hand_tighten
2319503,7864,-7456,12876,-2761,-4379,-7152,insert_bolts_hand_tighten
2319525,7304,-8160,12772,-942,-5312,-8355,insert_bolts_hand_tighten
2319547,8408,-8412,12784,2433,-4941,-8376,insert_bolts_hand_tighten
2319569,8752,-7752,12708,3502,-5065,-7700,insert_bolts_hand_tighten
2319591,9032,-7408,12292,2387,-6108,-7168,insert_bolts_hand_tighten
2319613,9740,-7432,12048,1874,-6518,-7163,insert_bolts_hand_tighten
2319635,10372,-7304,12504,3683,-6215,-7036,insert_bolts_hand_tighten
2319657,10848,-6448,12536,5312,-5736,-6346,insert_bolts_hand_tighten
2319679,11308,-6060,12996,5935,-5475,-5633,insert_bolts_hand_tighten
2319701,11800,-5780,13208,5183,-5182,-5112,insert_bolts_hand_tighten
2319723,12096,-5260,13420,4155,-4704,-5014,insert_bolts_hand_tighten
2319745,12588,-4804,12724,3961,-4213,-4533,insert_bolts_hand_tighten
2319767,12996,-4628,12868,4639,-3398,-3630,insert_bolts_hand_tighten
2319789,12632,-4396,12776,3829,-3055,-3104,insert_bolts_hand_tighten
2319811,12716,-4412,12712,2597,-2637,-2768,insert_bolts_hand_tighten
2319833,12704,-4420,12512,3485,-2505,-1903,insert_bolts_hand_tighten
2319855,12688,-3952,11752,4634,-2631,-754,insert_bolts_hand_tighten
2319877,12536,-3568,11488,5868,-2140,26,insert_bolts_hand_tighten
2319899,12340,-3416,11424,7548,-1771,739,insert_bolts_hand_tighten
2319921,12112,-2264,11504,8445,-1830,1101,insert_bolts_hand_tighten
2319943,11924,-1460,11208,7061,-2575,950,insert_bolts_hand_tighten
2319965,12372,-1552,10904,5745,-2757,539,insert_bolts_hand_tighten
2319987,12596,-1664,11568,5342,-2113,325,insert_bolts_hand_tighten
2320009,11856,-1356,12064,5542,-1334,-105,insert_bolts_hand_tighten
2320031,12508,-608,11924,4011,-1609,-301,insert_bolts_hand_tighten
2320053,12804,-1100,11696,2748,-1459,-616,insert_bolts_hand_tighten
2320075,12820,-876,11720,2067,-1607,-741,insert_bolts_hand_tighten
2320097,12892,-628,11820,1638,-1621,-736,insert_bolts_hand_tighten
2320119,13968,-508,12664,-419,-748,-438,insert_bolts_hand_tighten
