time_ms,ax,ay,az,gx,gy,gz,label
709257,9316,-11584,7772,-468,270,-162,place_gasket
709279,9328,-11528,7672,-509,342,-134,place_gasket
709301,9340,-11772,7668,-590,404,-21,place_gasket
709323,9256,-11596,7624,-601,530,-14,place_gasket
709345,9152,-11644,7588,-669,502,209,place_gasket
709367,9056,-11676,7644,-739,607,119,place_gasket
709389,9084,-11884,7652,-588,644,152,place_gasket
709411,9064,-11808,7600,-481,741,349,place_gasket
709433,9032,-11856,7696,-537,730,534,place_gasket
709455,8956,-11812,7620,-689,744,586,place_gasket
709477,8892,-11808,7476,-587,756,739,place_gasket
709499,8888,-11612,7504,-486,655,788,place_gasket
709521,8832,-11388,7372,-624,724,749,place_gasket
709543,8816,-11352,7424,-824,585,612,place_gasket
709565,8792,-11636,7364,-620,464,436,place_gasket
709587,8888,-11664,7244,-497,249,353,place_gasket
709609,8940,-11792,7416,-484,125,293,place_gasket
709631,8992,-11988,7464,-594,36,213,place_gasket
709653,8972,-12200,7696,-624,86,215,place_gasket
709675,8688,-12056,7948,-493,188,396,place_gasket
709697,8520,-12072,8552,-338,270,500,place_gasket
709719,8204,-11928,9104,327,811,728,place_gasket
709741,7912,-11812,9240,920,1608,691,place_gasket
709763,7724,-11400,9256,1097,2183,338,place_gasket
709785,7936,-11628,9332,-17,2627,-161,place_gasket
709807,8392,-12112,9456,-622,3161,-359,place_gasket
709829,8548,-12404,8948,-135,3638,-306,place_gasket
709851,8508,-12792,8504,993,4148,108,place_gasket
709873,8344,-12472,8836,1890,3911,151,place_gasket
709895,8560,-12076,8652,822,3514,387,place_gasket
709917,8764,-12464,8552,-860,3072,642,place_gasket
709939,8956,-13044,8244,-1886,3060,1029,place_gasket
709961,9068,-12716,7984,-3253,2946,1415,place_gasket
709983,9036,-13028,7556,-3925,2924,1839,place_gasket
710005,8484,-13040,7232,-2121,2855,2335,place_gasket
710027,8212,-12364,7168,-100,2481,2455,place_gasket
710049,8048,-11440,7508,600,2132,2275,place_gasket
710071,7920,-11200,7556,84,1697,1854,place_gasket
710093,7972,-11452,7808,280,1682,1440,place_gasket
710115,7988,-12148,8008,1954,1867,1129,place_gasket
710137,7896,-11312,8100,2730,2157,934,place_gasket
710159,7468,-11108,8472,1686,2299,583,place_gasket
710181,7352,-11396,8824,1334,1922,217,place_gasket
710203,7116,-11200,9036,1496,1834,-64,place_gasket
710225,7132,-11856,9240,2375,1501,-233,place_gasket
710247,6740,-11760,9508,3377,1238,-142,place_gasket
710269,6808,-11340,9836,2908,1286,-311,place_gasket
710291,6856,-11296,9916,1332,1221,-533,place_gasket
710313,6948,-11880,9788,-417,1219,-679,place_gasket
710335,7020,-12380,10212,310,1459,-686,place_gasket
710357,6872,-12732,10440,1853,1253,-417,place_gasket
710379,6868,-12356,10456,2730,1554,-73,place_gasket
710401,6724,-11996,10356,1986,1264,286,place_gasket
710423,6824,-11776,10076,428,1491,502,place_gasket
710445,6716,-11860,10028,196,1741,753,place_gasket
710467,6672,-11584,9984,731,1630,874,place_gasket
710489,6716,-11500,10136,1646,1477,916,place_gasket
710511,6656,-10996,10168,1546,1441,770,place_gasket
710533,6496,-10652,9788,743,1553,499,place_gasket
710555,6480,-10776,9996,237,1430,386,place_gasket
710577,6480,-10836,9928,72,1415,269,place_gasket
710599,6504,-10812,10428,65,1325,74,place_gasket
710621,6552,-10788,10604,-434,1158,-108,place_gasket
710643,6584,-11036,10500,-1021,897,-206,place_gasket
710665,6632,-11224,10352,-1145,775,-252,place_gasket
710687,6640,-11404,10192,-922,670,-162,place_gasket
710709,6764,-11648,10672,-123,619,-157,place_gasket
710731,6620,-11332,10568,-197,740,-43,place_gasket
710753,6584,-11332,10552,-735,724,-19,place_gasket
710775,6548,-11216,10488,-1255,642,81,place_gasket
710797,6340,-11456,10212,-1169,636,38,place_gasket
710819,6372,-11392,10296,-690,633,84,place_gasket
710841,6308,-11332,10452,-307,528,140,place_gasket
710863,6376,-11360,10428,-251,386,93,place_gasket
710885,6368,-11364,10344,-550,449,48,place_gasket
710907,6420,-11548,10224,-785,444,-3,place_gasket
710929,6280,-11584,10440,-436,403,131,place_gasket
710951,6264,-11376,10384,118,337,198,place_gasket
710973,6220,-11356,10300,-64,357,159,place_gasket
710995,6272,-11476,10352,-176,250,100,place_gasket
711017,6288,-11568,10416,-228,126,55,place_gasket
711039,6372,-11616,10304,-39,71,101,place_gasket
711061,6300,-11456,10476,-8,141,229,place_gasket
711083,6144,-11500,10456,-145,103,229,place_gasket
711105,6072,-11400,10484,-166,62,181,place_gasket
711127,6124,-11512,10480,-301,74,92,place_gasket
711149,6132,-11468,10436,-135,103,119,place_gasket
711171,5972,-11392,10472,-125,111,163,place_gasket
711193,5924,-11408,10312,-49,89,154,place_gasket
711215,5912,-11420,10488,18,-31,65,place_gasket
711237,6036,-11376,10444,-61,-93,17,place_gasket
711259,6068,-11620,10576,-296,28,51,place_gasket
711281,6180,-11668,10572,-263,75,48,place_gasket
711303,6148,-11648,10608,-262,66,32,place_gasket
711325,6252,-11608,10572,-353,24,91,place_gasket
711347,6176,-11688,10552,-451,65,185,place_gasket
711369,6104,-11616,10552,-449,56,310,place_gasket
711391,5996,-11440,10496,-193,-43,336,place_gasket
711413,6100,-11392,10436,-119,-56,265,place_gasket
711435,6052,-11344,10572,-69,-90,278,place_gasket
711457,6112,-11592,10560,-92,-105,259,place_gasket
711479,6304,-11624,10460,-12,38,259,place_gasket
711501,6164,-11512,10568,-125,131,355,place_gasket
711523,6188,-11548,10472,-173,106,362,place_gasket
711545,6228,-11492,10404,-143,152,328,place_gasket
711567,6116,-11492,10420,-58,133,354,place_gasket
711589,6252,-11464,10556,-17,13,282,place_gasket
711611,6436,-11452,10500,25,151,283,place_gasket
711633,6288,-11356,10464,-86,248,148,place_gasket
711655,6292,-11420,10392,-288,349,69,place_gasket
711677,6204,-11388,10416,-373,371,99,place_gasket
711699,6264,-11468,10520,-212,369,58,place_gasket
711721,6180,-11364,10320,0,346,52,place_gasket
711743,6224,-11320,10436,80,271,-20,place_gasket
711765,6100,-11200,10092,-51,203,-48,place_gasket
711787,6168,-11248,10356,-137,74,-180,place_gasket
711809,6156,-11200,10160,-143,144,-166,place_gasket
711831,5976,-11180,10156,122,168,-336,place_gasket
711853,5696,-11028,10188,793,96,-327,place_gasket
711875,5400,-10620,10220,1105,-158,-487,place_gasket
711897,5136,-10356,10136,839,-364,-671,place_gasket
711919,4932,-10468,10128,626,-624,-963,place_gasket
711941,4636,-10224,10084,1021,-849,-1249,place_gasket
711963,4384,-10100,9964,2347,-1152,-1680,place_gasket
711985,4316,-9872,9976,3802,-1774,-2216,place_gasket
712007,4716,-9496,10004,4522,-2319,-2797,place_gasket
712029,5148,-9288,10596,3271,-2532,-3126,place_gasket
712051,5580,-9892,10620,1369,-2979,-3586,place_gasket
712073,6140,-10352,10744,1776,-2922,-3731,place_gasket
712095,6380,-10444,11076,3198,-3424,-3643,place_gasket
712117,6688,-10260,10992,4922,-3525,-3657,place_gasket
712139,7404,-9516,11192,5795,-3627,-3593,place_gasket
712161,7396,-9132,11016,4395,-3332,-3914,place_gasket
712183,7916,-8920,11176,4260,-3510,-4042,place_gasket
712205,8184,-9804,10988,6351,-3622,-4031,place_gasket
712227,9536,-8840,11424,8252,-4106,-3169,place_gasket
712249,9456,-8340,11320,7828,-4510,-3221,place_gasket
712271,10112,-7900,11524,6677,-4444,-3349,place_gasket
