time_ms,ax,ay,az,gx,gy,gz,label
2542187,3516,-10224,12880,-258,225,222,wrench_tighten
2542209,3544,-9984,12784,-498,178,297,wrench_tighten
2542231,3488,-10228,13060,-654,-56,398,wrench_tighten
2542253,3488,-9952,13252,-202,-342,637,wrench_tighten
2542275,3496,-9692,13276,-220,-355,732,wrench_tighten
2542297,3628,-9700,13664,-167,-13,862,wrench_tighten
2542319,3492,-9672,13704,-44,245,1046,wrench_tighten
2542341,3224,-9500,13688,68,416,993,wrench_tighten
2542363,3324,-9700,13828,363,475,1181,wrench_tighten
2542385,3232,-9352,13696,303,849,855,wrench_tighten
2542407,3352,-9600,13456,42,1188,410,wrench_tighten
2542429,3296,-9600,13232,-375,1239,200,wrench_tighten
2542451,3420,-9776,13096,-469,1242,150,wrench_tighten
2542473,3424,-9960,12968,-314,1005,236,wrench_tighten
2542495,3516,-9996,13184,-34,847,379,wrench_tighten
2542517,3704,-10248,13396,223,578,424,wrench_tighten
2542539,3696,-10064,13360,230,518,661,wrench_tighten
2542561,3908,-9572,13120,154,586,882,wrench_tighten
2542583,3616,-9560,13032,247,740,1019,wrench_tighten
2542605,3272,-9168,12984,422,612,822,wrench_tighten
2542627,3204,-9000,12924,193,353,514,wrench_tighten
2542649,3448,-9228,12816,-184,275,190,wrench_tighten
2542671,3404,-9436,13312,-223,217,-47,wrench_tighten
2542693,3408,-9764,13352,-37,410,-228,wrench_tighten
2542715,3428,-9744,13672,255,374,-292,wrench_tighten
2542737,3464,-9772,13648,166,318,-336,wrench_tighten
2542759,3480,-9892,13476,521,151,-344,wrench_tighten
2542781,3436,-9812,13416,743,42,-191,wrench_tighten
2542803,3396,-9772,13272,849,-41,-34,wrench_tighten
2542825,3180,-9584,12992,987,-235,222,wrench_tighten
2542847,3128,-9340,12764,1021,-599,401,wrench_tighten
2542869,3152,-9188,12332,1214,-1022,471,wrench_tighten
2542891,3096,-9192,12448,1134,-1698,614,wrench_tighten
2542913,3632,-9160,13004,1654,-1926,630,wrench_tighten
2542935,3608,-9420,13240,1476,-2359,785,wrench_tighten
2542957,3752,-9028,13432,1204,-1900,801,wrench_tighten
2542979,3632,-9164,13616,605,-1536,583,wrench_tighten
2543001,3348,-9428,13716,374,-1160,384,wrench_tighten
2543023,3360,-9220,13908,537,-983,317,wrench_tighten
2543045,3280,-9436,14080,490,-1068,352,wrench_tighten
2543067,3432,-9192,14232,450,-1025,415,wrench_tighten
2543089,3484,-9204,14220,270,-887,495,wrench_tighten
2543111,3452,-9100,14180,287,-738,692,wrench_tighten
2543133,3428,-8948,14324,508,-593,858,wrench_tighten
2543155,3576,-8688,14388,707,-547,1029,wrench_tighten
2543177,3540,-8488,14384,825,-423,1099,wrench_tighten
2543199,3456,-8204,14224,700,-108,984,wrench_tighten
2543221,3420,-8216,14040,784,75,831,wrench_tighten
2543243,3364,-8272,14076,814,231,718,wrench_tighten
2543265,3588,-8072,14368,687,389,589,wrench_tighten
2543287,3588,-8252,14208,363,645,451,wrench_tighten
2543309,3664,-8184,13964,243,943,277,wrench_tighten
2543331,3428,-8396,13884,112,911,232,wrench_tighten
2543353,3532,-8436,14048,96,718,338,wrench_tighten
2543375,3612,-8568,13880,244,657,449,wrench_tighten
2543397,3704,-8444,13932,238,851,603,wrench_tighten
2543419,3352,-8216,13932,-57,925,603,wrench_tighten
2543441,3280,-8408,13940,-48,758,398,wrench_tighten
2543463,3484,-8264,14092,-45,661,339,wrench_tighten
2543485,3564,-8452,13988,-414,623,301,wrench_tighten
2543507,3532,-8512,14160,-767,647,310,wrench_tighten
2543529,3444,-8696,14088,-762,513,370,wrench_tighten
2543551,3596,-8628,14168,-531,325,543,wrench_tighten
2543573,3380,-8344,14076,-486,278,518,wrench_tighten
2543595,3376,-8124,13916,-732,183,397,wrench_tighten
2543617,3296,-8188,13680,-736,62,155,wrench_tighten
2543639,3292,-8244,13556,-674,-149,80,wrench_tighten
2543661,3280,-8572,13640,-630,-327,-22,wrench_tighten
2543683,3456,-8564,13612,-631,-461,-116,wrench_tighten
2543705,3460,-8912,13628,-619,-461,-174,wrench_tighten
2543727,3404,-9092,13796,-405,-461,145,wrench_tighten
2543749,3304,-9108,13820,-764,-518,4,wrench_tighten
2543771,3256,-9372,13696,-923,-550,-45,wrench_tighten
2543793,3200,-9176,13560,-859,-481,131,wrench_tighten
2543815,3148,-9332,13640,-787,-531,147,wrench_tighten
2543837,3280,-9240,13692,-535,-649,201,wrench_tighten
2543859,3228,-9160,13696,-740,-687,243,wrench_tighten
2543881,3356,-9344,13724,-695,-776,390,wrench_tighten
2543903,3488,-9236,13716,-395,-831,577,wrench_tighten
2543925,3484,-9336,13864,221,-851,937,wrench_tighten
2543947,3404,-9088,13904,653,-626,1044,wrench_tighten
2543969,3436,-9008,13988,906,-681,1070,wrench_tighten
2543991,3624,-9028,13736,807,-918,933,wrench_tighten
2544013,3676,-8944,13824,798,-955,763,wrench_tighten
2544035,3972,-8836,13784,764,-1253,649,wrench_tighten
2544057,3832,-9000,13928,833,-1290,531,wrench_tighten
2544079,4132,-8828,14056,1052,-1371,554,wrench_tighten
2544101,3996,-8816,14224,1159,-1236,747,wrench_tighten
2544123,4140,-8520,14064,1327,-978,663,wrench_tighten
2544145,4168,-8188,13980,1250,-752,407,wrench_tighten
2544167,4172,-8072,13800,918,-536,79,wrench_tighten
2544189,4024,-7984,13680,659,-405,-193,wrench_tighten
2544211,3908,-8184,13692,254,-492,-410,wrench_tighten
2544233,4072,-8484,13800,606,-417,-418,wrench_tighten
2544255,4220,-8512,14076,917,-316,-257,wrench_tighten
2544277,4332,-8712,14444,1178,-231,12,wrench_tighten
2544299,4456,-8616,14300,772,-48,154,wrench_tighten
2544321,4384,-8736,14292,372,107,286,wrench_tighten
2544343,4312,-8544,14220,495,214,388,wrench_tighten
2544365,4220,-8440,14020,693,178,450,wrench_tighten
2544387,4104,-8252,13924,731,114,545,wrench_tighten
2544409,4248,-8336,13916,584,-176,477,wrench_tighten
2544431,4180,-8252,13964,428,-204,597,wrench_tighten
2544453,4068,-8288,14000,456,-156,535,wrench_tighten
2544475,4260,-8212,14136,460,10,510,wrench_tighten
2544497,4020,-8212,14088,461,216,458,wrench_tighten
2544519,3916,-8104,14224,121,333,352,wrench_tighten
2544541,3940,-8188,14216,-130,423,264,wrench_tighten
2544563,4048,-8244,14244,-223,489,370,wrench_tighten
2544585,3924,-8320,14220,-83,461,519,wrench_tighten
2544607,3936,-8192,14200,84,353,708,wrench_tighten
2544629,3968,-8032,14064,277,357,915,wrench_tighten
2544651,3808,-7952,14008,314,188,1005,wrench_tighten
2544673,3656,-7656,13784,231,-7,1099,wrench_tighten
2544695,3588,-7632,13384,152,-315,1100,wrench_tighten
2544717,3504,-7584,12820,57,-836,1138,wrench_tighten
2544739,3260,-7340,12288,210,-1572,1336,wrench_tighten
2544761,3036,-6940,11892,479,-2477,1313,wrench_tighten
2544783,3252,-7300,11908,1040,-3900,1703,wrench_tighten
2544805,3352,-7224,12100,894,-5015,1570,wrench_tighten
2544827,3668,-7440,11956,-581,-6228,1656,wrench_tighten
2544849,3772,-7860,11848,-1931,-7213,1678,wrench_tighten
2544871,3940,-8364,11716,-2054,-8225,1733,wrench_tighten
2544893,3948,-9172,12220,735,-8855,2048,wrench_tighten
2544915,4144,-8880,12552,2893,-10228,2828,wrench_tighten
2544937,4796,-8600,12880,3981,-12280,3317,wrench_tighten
2544959,5528,-9056,13036,5513,-13399,3824,wrench_tighten
2544981,6272,-8740,12768,7065,-13008,4042,wrench_tighten
2545003,6768,-8436,12220,7291,-12575,4352,wrench_tighten
2545025,7432,-7520,12108,7022,-12348,4423,wrench_tighten
2545047,8044,-7444,12328,6800,-10996,4239,wrench_tighten
2545069,8364,-6664,12464,6735,-9828,4102,wrench_tighten
2545091,8804,-6876,12380,6129,-9968,3807,wrench_tighten
2545113,9368,-6512,11972,7259,-9310,3461,wrench_tighten
2545135,9620,-5752,11540,8755,-8711,3221,wrench_tighten
2545157,9824,-5872,12172,8968,-8958,3160,wrench_tighten
2545179,11004,-4612,12992,7353,-9743,3131,wrench_tighten
2545201,11500,-5128,12728,5468,-9668,2301,wrench_tighten
2545223,12068,-5352,12320,6013,-7933,1693,wrench_tighten
2545245,12012,-5464,11948,8026,-6410,1292,wrench_tighten
2545267,11964,-5196,12380,10411,-4958,1190,wrench_tighten
2545289,11856,-3732,12684,8660,-4463,1211,wrench_tighten
2545311,12156,-4264,12592,5133,-6347,842,wrench_tighten
2545333,12876,-4940,12356,5412,-5677,659,wrench_tighten
2545355,12932,-4532,11592,7152,-3769,691,wrench_tighten
2545377,12872,-4684,12112,9104,-2518,357,wrench_tighten
2545399,13316,-2688,12812,10115,-858,655,wrench_tighten
2545421,12668,-1256,13248,7165,-1520,280,wrench_tighten
2545443,12448,-2388,12800,3637,-3382,-385,wrench_tighten
2545465,12704,-2672,12484,2338,-4129,-791,wrench_tighten
2545487,12732,-3064,12012,1961,-4101,-570,wrench_tighten
2545509,13208,-2744,11440,2967,-2973,-190,wrench_tighten
2545531,14552,-3108,13404,3411,40,499,wrench_tighten
2545553,12264,-2348,14108,2925,3548,974,wrench_tighten
2545575,11884,-3720,13520,1800,-689,425,wrench_tighten
2545597,12564,-2988,13160,3741,-1469,443,wrench_tighten
2545619,11996,-1680,11492,3200,-561,669,wrench_tighten
2545641,12048,-1752,10912,3977,-930,645,wrench_tighten
2545663,12480,-2112,11092,5678,-1030,472,wrench_tighten
2545685,13620,236,13360,4502,2791,989,wrench_tighten
2545707,12648,-1224,11920,2670,-1518,1467,wrench_tighten
2545729,12576,-1820,11860,4506,704,827,wrench_tighten
2545751,12744,-1060,12200,3521,1603,1047,wrench_tighten
2545773,11880,-1660,11948,2630,610,267,wrench_tighten
2545795,12564,-1664,11580,3067,-37,98,wrench_tighten
2545817,12600,-600,11104,3437,765,450,wrench_tighten
2545839,12124,-508,11244,3607,826,836,wrench_tighten
2545861,12172,-1496,11648,4812,677,1223,wrench_tighten
2545883,12196,764,12240,4044,1542,1310,wrench_tighten
2545905,12224,404,12592,460,-671,593,wrench_tighten
2545927,11632,-416,12848,-212,-116,416,wrench_tighten
2545949,12092,-360,13004,373,-184,871,wrench_tighten
2545971,11756,884,12096,-367,-613,1174,wrench_tighten
2545993,11832,448,11380,-3311,-1832,285,wrench_tighten
2546015,12164,-632,11084,-3953,-1706,-224,wrench_tighten
2546037,12184,-296,11908,-3577,-670,-161,wrench_tighten
2546059,12500,-412,11656,-3485,-70,415,wrench_tighten
