time_ms,ax,ay,az,gx,gy,gz,label
786087,15740,-6112,-664,1767,877,-906,clean_inspect
786109,15644,-5916,-676,1904,1039,-743,clean_inspect
786131,15644,-5768,-860,1731,1062,-550,clean_inspect
786153,15500,-5676,-732,1435,959,-356,clean_inspect
786175,15528,-5560,-696,963,933,-241,clean_inspect
786197,15604,-5532,-688,492,948,-167,clean_inspect
786219,15588,-5496,-800,39,984,-95,clean_inspect
786241,15452,-5576,-760,-203,878,-65,clean_inspect
786263,15428,-5800,-896,-175,803,-161,clean_inspect
786285,15468,-5816,-952,-44,757,-129,clean_inspect
786307,15448,-6128,-992,23,655,-91,clean_inspect
786329,15592,-6640,-888,344,389,145,clean_inspect
786351,15704,-6720,-368,627,-2,684,clean_inspect
786373,15792,-6616,-228,146,16,1298,clean_inspect
786395,15820,-6672,-68,-527,377,1942,clean_inspect
786417,15704,-6816,28,-731,818,2413,clean_inspect
786439,15460,-6936,56,-747,1130,2668,clean_inspect
786461,15424,-7272,76,-360,1228,2689,clean_inspect
786483,15436,-7140,-208,262,1361,2957,clean_inspect
786505,15220,-6952,24,667,1396,3597,clean_inspect
786527,15140,-6960,136,678,1195,3834,clean_inspect
786549,14836,-6992,172,366,951,3279,clean_inspect
786571,14696,-7124,72,432,693,2482,clean_inspect
786593,14712,-6912,-120,856,818,1752,clean_inspect
786615,14784,-6784,-164,1244,905,1336,clean_inspect
786637,14780,-6540,-184,1318,839,1310,clean_inspect
786659,15056,-6992,-104,1201,681,1191,clean_inspect
786681,15220,-6820,-288,1440,647,1146,clean_inspect
786703,15340,-6852,-208,1447,605,1070,clean_inspect
786725,15196,-6884,-140,1422,343,1037,clean_inspect
786747,15112,-6676,-152,1045,410,1091,clean_inspect
786769,15072,-6436,-192,723,336,1209,clean_inspect
786791,14792,-6444,-116,682,17,1206,clean_inspect
786813,14628,-6500,-188,967,-469,829,clean_inspect
786835,14592,-6508,-208,1368,-653,108,clean_inspect
786857,14468,-6444,-292,1510,-868,-379,clean_inspect
786879,14520,-6648,-164,1455,-995,-837,clean_inspect
786901,14520,-6904,36,1575,-1334,-1126,clean_inspect
786923,14860,-7068,204,1588,-1630,-1224,clean_inspect
786945,15016,-7108,664,1422,-1440,-1123,clean_inspect
786967,15168,-7184,948,677,-1042,-900,clean_inspect
786989,15248,-7340,1444,-374,-598,-655,clean_inspect
787011,15440,-7752,1504,-1355,-133,-391,clean_inspect
787033,15428,-8184,1596,-1515,582,-58,clean_inspect
787055,15316,-8316,1652,-1333,1104,406,clean_inspect
787077,15284,-8288,2024,-1325,1365,910,clean_inspect
787099,15468,-8044,2036,-1573,1735,1635,clean_inspect
787121,15704,-8164,2328,-1864,3065,2593,clean_inspect
787143,15980,-9216,3008,-2377,4971,3040,clean_inspect
787165,15872,-9748,3216,-3047,6725,3006,clean_inspect
787187,15336,-9332,2884,-4527,7674,3305,clean_inspect
787209,15052,-9440,2368,-4923,8520,4148,clean_inspect
787231,14172,-9752,2536,-5464,8796,4305,clean_inspect
787253,13608,-10308,2912,-3694,8207,3826,clean_inspect
787275,13292,-9980,2644,-1170,7064,3617,clean_inspect
787297,13196,-9000,2260,102,5947,3740,clean_inspect
787319,13156,-8456,1860,-119,4890,4105,clean_inspect
787341,13172,-8396,1792,-123,4127,4169,clean_inspect
787363,13220,-8120,1428,200,3757,4027,clean_inspect
787385,13008,-7996,1576,458,3511,3626,clean_inspect
787407,13076,-7836,1628,518,3082,2830,clean_inspect
787429,13244,-7448,1616,213,2612,2231,clean_inspect
787451,13348,-7720,1720,-312,2694,1808,clean_inspect
787473,13380,-7992,2028,-683,2846,1295,clean_inspect
787495,13460,-8052,2204,-1171,2927,687,clean_inspect
787517,13608,-8484,2212,-1631,2847,161,clean_inspect
787539,13620,-8556,2216,-1792,2704,94,clean_inspect
787561,13688,-8940,2024,-2196,2657,246,clean_inspect
787583,13456,-9300,2244,-2051,2249,467,clean_inspect
787605,13284,-9340,2648,-1405,1460,655,clean_inspect
787627,13200,-9268,2600,-865,874,597,clean_inspect
787649,12940,-9192,2772,-631,633,380,clean_inspect
787671,12824,-9276,3136,-201,251,166,clean_inspect
787693,12820,-9268,3312,160,69,35,clean_inspect
787715,12764,-9364,3544,155,369,-236,clean_inspect
787737,12572,-9548,3560,-39,274,-524,clean_inspect
787759,12684,-9836,3516,-490,74,-624,clean_inspect
787781,12760,-10088,3304,-544,762,-809,clean_inspect
787803,12632,-10652,3124,-739,1477,-919,clean_inspect
787825,12008,-11068,3884,375,1767,-1598,clean_inspect
787847,11912,-10264,3744,956,1686,-1485,clean_inspect
787869,11916,-10448,3512,79,879,-938,clean_inspect
787891,12492,-10372,3868,85,744,-391,clean_inspect
787913,12200,-10552,3716,-602,1000,-49,clean_inspect
787935,12464,-10980,3808,-144,1491,-463,clean_inspect
787957,12292,-10544,4128,1380,2565,-1152,clean_inspect
787979,11788,-9848,3784,3152,2029,-1439,clean_inspect
788001,12012,-9212,3320,4100,997,-1961,clean_inspect
788023,11732,-9068,2496,4638,-381,-2395,clean_inspect
788045,12284,-9492,2156,7612,-944,-3446,clean_inspect
788067,13180,-8132,1772,10111,-101,-4255,clean_inspect
788089,13992,-7936,3908,11891,1828,-2470,clean_inspect
788111,15444,-8252,5740,11051,2042,-1537,clean_inspect
788133,17048,-5288,5548,13040,3306,-2482,clean_inspect
788155,17080,-2024,4368,10550,6630,-1218,clean_inspect
788177,16044,-5892,4044,9281,7931,-1967,clean_inspect
788199,14996,-5516,4288,13756,8958,-303,clean_inspect
788221,14584,-4660,7236,14651,10599,462,clean_inspect
788243,12920,-10364,8884,8588,11899,5623,clean_inspect
788265,11084,-6132,9832,9491,8004,6073,clean_inspect
788287,10792,-7144,10680,7150,5215,7667,clean_inspect
788309,10868,-8184,10700,4871,3729,6005,clean_inspect
788331,10264,-7468,10796,6445,3813,4422,clean_inspect
788353,9840,-6384,11684,5737,4459,3891,clean_inspect
788375,9000,-7484,11392,6460,2812,3832,clean_inspect
788397,8932,-8060,11984,5886,754,3328,clean_inspect
788419,9580,-8004,11368,7249,-667,2569,clean_inspect
788441,10704,-6160,11452,9586,483,3087,clean_inspect
788463,11620,-5096,11440,9888,3809,4521,clean_inspect
788485,10036,-4772,13104,9134,5546,3545,clean_inspect
788507,9864,-4156,12448,7427,4248,2002,clean_inspect
788529,9208,-4292,12840,7778,2981,272,clean_inspect
788551,9988,-2220,12780,6086,716,-844,clean_inspect
788573,10580,-1988,12684,1948,837,-1569,clean_inspect
788595,11820,-2768,12236,992,3551,-1820,clean_inspect
788617,10984,-2896,14068,3095,5405,-1940,clean_inspect
788639,10432,-2924,15188,809,4347,-2919,clean_inspect
788661,10872,-7408,17304,-82,5070,-990,clean_inspect
788683,10156,-4860,15692,-1655,5382,-1433,clean_inspect
788705,10124,-2980,15336,-4635,4247,-1925,clean_inspect
788727,10420,-5112,15356,-7318,4209,-2542,clean_inspect
788749,8880,-4408,15392,-7957,1786,-2028,clean_inspect
788771,8136,-4732,14236,-9593,-3328,-127,clean_inspect
788793,9440,-7320,13648,-10937,-8277,3795,clean_inspect
