time_ms,ax,ay,az,gx,gy,gz,label
2899969,-228,-2472,15620,415,658,-338,hand_tighten
2899991,1724,-2180,15808,-2096,1601,985,hand_tighten
2900013,1156,-3808,17920,-6257,2342,1354,hand_tighten
2900035,2144,-6332,18964,-6343,2475,1896,hand_tighten
2900057,1816,-6616,18248,-4124,3813,2051,hand_tighten
2900079,1116,-5300,18016,-4140,7047,2522,hand_tighten
2900101,132,-6012,17560,-5508,8763,4121,hand_tighten
2900123,-956,-6368,18052,-6440,10016,5534,hand_tighten
2900145,-1304,-7076,16976,-6265,8564,6126,hand_tighten
2900167,-1992,-6744,16568,-5078,8334,6294,hand_tighten
2900189,-2368,-6372,15480,-5711,7254,7689,hand_tighten
2900211,-3232,-5844,15736,-6723,7300,8068,hand_tighten
2900233,-4184,-6112,16216,-7529,6964,7853,hand_tighten
2900255,-4608,-5732,16248,-9067,6362,7366,hand_tighten
2900277,-5072,-5944,15524,-10442,5572,7036,hand_tighten
2900299,-5560,-5864,14712,-11827,4862,7705,hand_tighten
2900321,-5760,-6672,14580,-13000,3576,8577,hand_tighten
2900343,-5972,-7848,13600,-13790,1879,8873,hand_tighten
2900365,-7628,-8804,12956,-14308,-330,8447,hand_tighten
2900387,-7708,-9732,11676,-11227,-2115,7715,hand_tighten
2900409,-7824,-8924,11160,-8663,-2674,7159,hand_tighten
2900431,-7504,-8400,11912,-8112,-2736,6840,hand_tighten
2900453,-7676,-8076,12224,-8642,-3449,6485,hand_tighten
2900475,-7688,-7456,12200,-10004,-5960,5477,hand_tighten
2900497,-7180,-8160,11080,-9966,-8582,4623,hand_tighten
2900519,-6476,-9764,10304,-7194,-10271,3861,hand_tighten
2900541,-5484,-10076,11200,-2801,-9646,2132,hand_tighten
2900563,-4636,-9632,12388,476,-11098,478,hand_tighten
2900585,-4516,-8768,12804,1623,-11935,-1419,hand_tighten
2900607,-2604,-8640,11420,1892,-12757,-2054,hand_tighten
2900629,-1408,-7920,11596,2546,-11593,-2144,hand_tighten
2900651,-492,-8248,11456,1153,-10233,-1456,hand_tighten
2900673,-392,-9292,12364,294,-8729,-1256,hand_tighten
2900695,-228,-10232,13296,579,-7875,-1936,hand_tighten
2900717,656,-10520,13580,2412,-7486,-2232,hand_tighten
2900739,1040,-9556,13364,3485,-6612,-2568,hand_tighten
2900761,1372,-8412,12784,3445,-5788,-2061,hand_tighten
2900783,1520,-6552,13920,414,-3346,-579,hand_tighten
2900805,1496,-9024,15312,-1554,-1517,1129,hand_tighten
2900827,624,-9764,15020,-2302,-712,1190,hand_tighten
