time_ms,ax,ay,az,gx,gy,gz,label
5262241,13520,-8784,4232,-171,189,137,idle
5262263,13432,-8704,4520,-183,221,92,idle
5262285,13524,-8856,4548,-201,203,19,idle
5262307,13412,-8840,4380,-273,156,28,idle
5262329,13540,-8804,4456,-223,209,-21,idle
5262351,13556,-8700,4388,-309,186,-22,idle
5262373,13540,-8596,4464,-366,180,-4,idle
5262395,13576,-8660,4408,-329,229,-14,idle
5262417,13540,-8584,4360,-342,245,41,idle
5262439,13528,-8756,4388,-389,268,40,idle
5262461,13336,-8548,4256,-412,326,71,idle
5262483,13400,-8800,4280,-261,344,100,idle
5262505,13424,-8664,4340,-127,350,126,idle
5262527,13496,-8672,4356,-39,360,122,idle
5262549,13612,-8740,4380,43,383,102,idle
5262571,13452,-8756,4268,93,364,74,idle
5262593,13564,-8712,4420,110,416,54,idle
5262615,13488,-8880,4384,77,391,22,idle
5262637,13636,-8636,4240,388,501,33,idle
5262659,13524,-8700,4380,370,605,94,idle
5262681,13580,-8400,4360,610,860,292,idle
5262703,13624,-8348,4180,202,1066,347,idle
5262725,13908,-8664,4160,-516,1122,449,idle
5262747,14020,-9068,4520,-805,1246,570,idle
5262769,14216,-9600,4948,-15,1129,594,idle
5262791,14064,-9164,4976,964,1117,664,idle
5262813,14352,-9132,4980,1333,898,364,idle
5262835,13628,-8708,4924,187,1038,797,idle
5262857,13936,-9044,4988,-459,732,812,idle
5262879,13920,-9116,5372,-27,586,488,idle
5262901,13496,-8016,4696,1316,393,133,idle
5262923,13436,-8448,4740,2395,249,27,idle
5262945,13412,-8016,4384,2192,99,-322,idle
5262967,13164,-8416,4596,1580,132,-692,idle
5262989,13308,-8324,4824,1417,369,-911,idle
5263011,13020,-8616,4932,1280,243,-920,idle
5263033,12836,-8196,4924,1885,355,-1004,idle
5263055,12808,-8120,4812,2098,90,-1008,idle
5263077,12768,-8124,4796,2328,120,-1045,idle
5263099,13000,-7848,4832,2178,89,-1273,idle
5263121,13328,-8040,5116,1818,64,-1195,idle
5263143,13656,-8228,5396,1913,405,-853,idle
5263165,13780,-8484,5748,2042,673,-202,idle
5263187,13348,-8956,6060,1935,802,379,idle
5263209,13616,-8132,5836,1524,807,612,idle
5263231,13832,-8440,5924,965,346,679,idle
5263253,14212,-8440,6316,1264,-260,941,idle
5263275,14016,-8860,6356,2385,205,1164,idle
5263297,13768,-8516,6372,3062,360,1714,idle
5263319,13648,-7924,6328,3092,692,2060,idle
