time_ms,ax,ay,az,gx,gy,gz,label
418835,11068,-5040,14712,-633,-353,-254,align_flanges
418857,12544,-5032,14948,-1912,-378,-72,align_flanges
418879,14084,-4356,12576,-5081,-133,278,align_flanges
418901,16064,-6288,13108,-5229,2261,1446,align_flanges
418923,17120,-6732,14456,-5236,7879,3360,align_flanges
418945,16604,-7164,14892,-7637,10438,4388,align_flanges
418967,15672,-8432,13648,-6865,10248,4736,align_flanges
418989,14084,-8092,11944,-5675,10920,5392,align_flanges
419011,12984,-8384,10844,-4915,9950,6790,align_flanges
419033,10048,-8468,10528,-3446,7357,6986,align_flanges
419055,9104,-8148,10668,-2411,5591,6716,align_flanges
419077,8236,-6656,12056,-1499,4754,6646,align_flanges
419099,6564,-5976,11316,-1850,3917,5885,align_flanges
419121,5948,-7108,11800,-2894,3238,5317,align_flanges
419143,5760,-6796,12868,-3392,3544,5520,align_flanges
419165,4652,-6764,13676,-3488,3463,4795,align_flanges
419187,4096,-6344,14060,-2778,3531,3853,align_flanges
419209,4008,-6496,14372,-2047,3996,2840,align_flanges
419231,3264,-6248,14284,-1784,5011,2395,align_flanges
419253,2752,-6772,14064,-2966,4683,1591,align_flanges
419275,3088,-6536,13964,-3057,4956,1170,align_flanges
419297,1656,-7128,13396,-2714,4789,1186,align_flanges
419319,1656,-7288,13460,-2943,4166,102,align_flanges
419341,1984,-7644,13068,-1751,3248,48,align_flanges
419363,1300,-7184,12612,-928,2933,-21,align_flanges
419385,1192,-7532,12060,-1163,1968,-324,align_flanges
419407,1520,-7220,12376,-202,834,79,align_flanges
419429,1820,-7168,11984,413,518,-68,align_flanges
419451,2300,-7524,12432,1123,41,-185,align_flanges
419473,3196,-8160,13412,1134,112,-213,align_flanges
419495,3776,-8980,14152,753,218,-435,align_flanges
419517,4216,-9220,14132,-149,651,-324,align_flanges
419539,4560,-10000,13888,-187,948,-93,align_flanges
419561,4672,-9744,13964,263,1631,396,align_flanges
419583,4532,-9556,13632,90,1583,701,align_flanges
419605,4408,-9300,13428,-332,1620,865,align_flanges
419627,4144,-9012,13188,-1036,1484,887,align_flanges
419649,4156,-8800,13184,-1148,1412,658,align_flanges
419671,3972,-8576,12856,-893,1345,459,align_flanges
419693,3944,-8520,12824,-728,1276,350,align_flanges
419715,3856,-8472,12928,-755,1153,331,align_flanges
419737,3836,-8404,13320,-807,1010,237,align_flanges
419759,3808,-8700,13512,-951,627,25,align_flanges
419781,3972,-8836,13680,-567,490,-162,align_flanges
419803,4256,-8740,13860,-538,332,-210,align_flanges
419825,4196,-8988,13832,-784,140,-188,align_flanges
419847,3996,-9044,13644,-988,37,-173,align_flanges
419869,4048,-8788,13876,-584,95,-66,align_flanges
419891,3948,-8676,13752,-684,64,-10,align_flanges
419913,3824,-8768,13624,-652,93,-65,align_flanges
419935,3844,-8792,13776,-708,-140,-48,align_flanges
419957,3820,-8852,13744,-857,-277,-182,align_flanges
419979,3816,-8748,13772,-852,-256,-224,align_flanges
420001,3812,-8848,13620,-622,-321,-220,align_flanges
420023,3828,-8952,13660,-217,-113,-58,align_flanges
420045,3920,-8968,13756,-343,-120,-9,align_flanges
420067,3812,-9056,13792,-255,-81,4,align_flanges
420089,4028,-9044,13852,-344,-104,-48,align_flanges
420111,3980,-9212,13804,-98,43,-123,align_flanges
420133,3948,-9108,13740,-231,90,-52,align_flanges
420155,4028,-9160,13600,-635,33,77,align_flanges
420177,4012,-9236,13664,-550,86,115,align_flanges
420199,3820,-9236,13516,-258,94,183,align_flanges
420221,3916,-9012,13388,-170,30,128,align_flanges
420243,3840,-8820,13288,-295,-66,55,align_flanges
420265,3952,-8856,13300,-472,-200,-117,align_flanges
420287,4072,-9076,13464,-132,-237,-314,align_flanges
420309,4308,-9044,13188,231,-53,-296,align_flanges
420331,4280,-9164,13420,7,-53,-136,align_flanges
420353,4276,-9292,13536,-279,-57,-146,align_flanges
420375,4472,-9412,13840,-376,-153,-250,align_flanges
420397,4568,-9316,13624,-469,2,-212,align_flanges
420419,4420,-9400,13520,-600,19,-44,align_flanges
420441,4300,-9480,13428,-341,152,165,align_flanges
420463,4188,-9256,13484,8,121,359,align_flanges
420485,4212,-9072,13644,15,-149,396,align_flanges
420507,4264,-9040,13520,-141,-99,272,align_flanges
420529,4228,-9096,13520,-235,36,281,align_flanges
420551,4196,-8964,13620,-229,197,375,align_flanges
420573,4148,-9120,13608,-217,108,341,align_flanges
420595,4264,-9152,13740,-51,258,312,align_flanges
420617,4208,-9064,13644,-217,301,249,align_flanges
420639,4284,-9036,13516,-344,328,225,align_flanges
420661,4272,-9008,13488,-243,352,99,align_flanges
420683,4120,-9000,13412,-222,491,188,align_flanges
420705,4344,-9076,13336,-146,368,108,align_flanges
420727,4304,-9192,13484,-39,374,207,align_flanges
420749,4248,-8920,13584,-191,379,203,align_flanges
420771,4104,-9056,13460,-460,81,35,align_flanges
420793,4224,-9100,13380,-163,134,-3,align_flanges
420815,4232,-8960,13292,-108,161,82,align_flanges
420837,4292,-9080,13644,-333,65,52,align_flanges
420859,4336,-9100,13632,-184,192,75,align_flanges
420881,4088,-9144,13528,-234,196,55,align_flanges
420903,4116,-9076,13576,-89,243,31,align_flanges
420925,4052,-8812,13276,-157,164,3,align_flanges
420947,4160,-9164,13472,-281,-13,-72,align_flanges
420969,4188,-9032,13644,0,52,-143,align_flanges
420991,4180,-9164,13592,97,26,-174,align_flanges
421013,4212,-9196,13592,16,165,-137,align_flanges
421035,4324,-8976,13496,-271,160,-125,align_flanges
421057,4144,-9172,13380,-372,80,-159,align_flanges
421079,4228,-9124,13504,-204,141,-26,align_flanges
421101,4220,-9128,13564,-83,37,-69,align_flanges
421123,4256,-9136,13660,-19,-26,-62,align_flanges
421145,4328,-9132,13552,-314,-70,-99,align_flanges
421167,4304,-8992,13572,-329,58,-113,align_flanges
421189,4204,-9004,13484,-433,97,-95,align_flanges
421211,4112,-9004,13400,-409,109,-101,align_flanges
421233,4232,-9240,13512,-189,41,-131,align_flanges
421255,4256,-9244,13672,-203,-53,10,align_flanges
421277,4412,-9040,13564,-187,63,35,align_flanges
421299,4296,-8976,13432,-233,136,137,align_flanges
421321,4192,-9012,13492,-124,214,176,align_flanges
421343,4132,-9072,13524,78,124,81,align_flanges
421365,4396,-9048,13516,-37,12,33,align_flanges
421387,4396,-8896,13484,-180,88,-4,align_flanges
421409,4348,-9088,13584,-450,-41,-70,align_flanges
