time_ms,ax,ay,az,gx,gy,gz,label
1650549,13008,-8464,6196,-1512,49,1784,idle
1650571,13224,-8616,6324,-1757,-319,1030,idle
1650593,12972,-8480,6132,-2795,356,355,idle
1650615,13380,-8308,6324,-2616,426,501,idle
1650637,14020,-8688,6536,-1872,287,990,idle
1650659,13708,-7864,6292,-2366,163,1397,idle
1650681,14180,-7760,6028,-2907,502,1597,idle
1650703,14524,-8240,6056,-3392,1069,1507,idle
1650725,14540,-7552,6188,-4097,1760,1426,idle
1650747,14584,-7364,6048,-4983,1347,1501,idle
1650769,14664,-7592,5856,-4992,1551,1639,idle
1650791,14576,-7184,5680,-4373,1728,1482,idle
1650813,14544,-6776,5236,-4320,1608,825,idle
1650835,13984,-6288,4812,-4600,1840,-436,idle
1650857,14100,-6112,4648,-5698,1465,-1658,idle
1650879,13268,-6304,3836,-6506,1654,-3274,idle
1650901,13504,-6516,3624,-7100,1510,-4768,idle
1650923,13168,-6828,3204,-7343,602,-6255,idle
1650945,13220,-6948,2864,-7087,-150,-7691,idle
1650967,12880,-7200,2716,-7128,-742,-8963,idle
1650989,13000,-7448,2440,-6822,-1375,-10378,idle
1651011,13288,-7632,2396,-6073,-2018,-11402,idle
1651033,14460,-7848,2232,-3921,-1986,-11999,idle
1651055,15312,-7888,1964,-1920,-1654,-12640,idle
1651077,15452,-7220,1864,-1327,-665,-13063,idle
1651099,15224,-6816,1864,-2464,220,-13303,idle
1651121,15568,-6700,2380,-3975,-289,-13367,idle
1651143,15692,-6668,2592,-5141,-948,-13064,idle
1651165,17052,-7352,2668,-4600,-2204,-13307,idle
1651187,16536,-7432,2476,-3056,-2563,-13332,idle
1651209,16492,-7040,2072,-850,-3514,-13000,idle
1651231,16932,-6904,1952,2045,-3852,-11941,idle
1651253,17628,-6372,2148,4498,-3926,-9890,idle
1651275,17772,-5344,2172,5576,-3020,-7926,idle
1651297,17024,-4248,2464,4872,-3229,-5940,idle
1651319,17108,-3376,2764,3107,-3427,-3665,idle
1651341,16860,-2604,2748,753,-3542,-1847,idle
1651363,16608,-2724,2540,-879,-2773,-331,idle
1651385,16404,-2692,2120,-1753,-2047,945,idle
1651407,16356,-2640,2072,-2038,-1172,1800,idle
1651429,16272,-3176,2040,-1385,-814,2121,idle
1651451,15412,-3008,2224,-540,-982,2189,idle
1651473,15128,-2832,2420,-16,-2257,1807,idle
1651495,14956,-2896,2268,503,-3091,1545,idle
1651517,15364,-2744,2048,827,-3498,1728,idle
1651539,15980,-2456,1920,599,-2603,2225,idle
1651561,16900,-2256,1084,-344,-1568,2840,idle
1651583,17592,-2348,1132,-1198,687,4093,idle
1651605,17464,-2624,1036,-1233,1941,5310,idle
1651627,16936,-2744,1328,-697,2172,5914,idle
1651649,16936,-3044,1584,-199,1701,6186,idle
1651671,17388,-4052,2176,2867,1783,5788,idle
1651693,19200,-5156,2044,11244,4034,2951,idle
1651715,18184,-2728,3352,16251,9550,1453,idle
1651737,17572,-240,3972,17646,10829,2978,idle
1651759,16756,-776,4804,12343,9096,5350,idle
1651781,17144,-1840,4928,5250,6267,6904,idle
1651803,16324,-3084,4628,-263,4538,8065,idle
1651825,15340,-3828,4104,-3016,1906,8502,idle
