time_ms,ax,ay,az,gx,gy,gz,label
2705185,4140,-8032,13496,-1249,856,110,insert_bolts_hand_tighten
2705207,4356,-8064,13012,-2509,690,23,insert_bolts_hand_tighten
2705229,4684,-8436,12868,-2104,651,-82,insert_bolts_hand_tighten
2705251,4920,-8664,12992,-129,533,156,insert_bolts_hand_tighten
2705273,4820,-8520,13436,1644,67,661,insert_bolts_hand_tighten
2705295,4828,-8316,13724,1625,-398,980,insert_bolts_hand_tighten
2705317,4832,-7824,13712,453,-668,865,insert_bolts_hand_tighten
2705339,4776,-7484,13776,-1147,-447,398,insert_bolts_hand_tighten
2705361,4696,-7624,14320,-1481,-148,68,insert_bolts_hand_tighten
2705383,4860,-8076,14124,-951,-74,-47,insert_bolts_hand_tighten
2705405,4516,-8088,13956,-178,-20,164,insert_bolts_hand_tighten
2705427,4340,-7800,13844,-441,-388,206,insert_bolts_hand_tighten
2705449,4296,-7864,14048,-951,-753,-88,insert_bolts_hand_tighten
2705471,4764,-8248,14440,-1289,-812,-164,insert_bolts_hand_tighten
2705493,4972,-8680,14516,-838,-485,-37,insert_bolts_hand_tighten
2705515,4912,-8712,14412,-194,-203,308,insert_bolts_hand_tighten
2705537,4616,-8556,14396,-394,87,386,insert_bolts_hand_tighten
2705559,4592,-8456,13980,-1109,-30,336,insert_bolts_hand_tighten
2705581,4356,-8248,13568,-1814,-50,192,insert_bolts_hand_tighten
2705603,4380,-8708,13648,-1517,-15,360,insert_bolts_hand_tighten
2705625,4376,-8708,13664,-427,-88,589,insert_bolts_hand_tighten
2705647,4388,-8668,13624,131,-306,827,insert_bolts_hand_tighten
2705669,4380,-8388,13664,-129,-431,918,insert_bolts_hand_tighten
2705691,4388,-8552,13760,-584,-528,720,insert_bolts_hand_tighten
2705713,4652,-8676,13972,-671,-548,757,insert_bolts_hand_tighten
2705735,4788,-8960,13904,-643,-354,854,insert_bolts_hand_tighten
2705757,4808,-8668,13888,-106,-56,1005,insert_bolts_hand_tighten
2705779,4708,-8648,13512,227,-248,1170,insert_bolts_hand_tighten
2705801,4576,-8540,13948,365,-381,1066,insert_bolts_hand_tighten
2705823,4824,-8388,13804,212,-460,910,insert_bolts_hand_tighten
2705845,5036,-8512,14072,-330,-440,736,insert_bolts_hand_tighten
2705867,5168,-8584,13820,-667,-237,682,insert_bolts_hand_tighten
2705889,5148,-8516,13844,-698,17,586,insert_bolts_hand_tighten
2705911,5048,-8628,13792,-83,87,538,insert_bolts_hand_tighten
2705933,4932,-8656,13920,80,95,485,insert_bolts_hand_tighten
2705955,5040,-8536,13864,-155,-38,482,insert_bolts_hand_tighten
2705977,4948,-8524,13716,-791,135,332,insert_bolts_hand_tighten
2705999,4916,-8700,13340,-1001,287,159,insert_bolts_hand_tighten
2706021,4792,-9040,13472,27,140,294,insert_bolts_hand_tighten
2706043,4740,-9032,13428,1169,-135,477,insert_bolts_hand_tighten
2706065,4892,-8940,13480,1426,-291,658,insert_bolts_hand_tighten
2706087,4840,-8804,13588,937,-396,830,insert_bolts_hand_tighten
2706109,4704,-8748,13676,16,-216,725,insert_bolts_hand_tighten
2706131,5020,-8820,13860,-641,-253,624,insert_bolts_hand_tighten
2706153,4916,-8828,13772,-766,98,704,insert_bolts_hand_tighten
2706175,4860,-8964,13732,-259,327,796,insert_bolts_hand_tighten
2706197,4812,-8880,13936,479,443,1060,insert_bolts_hand_tighten
2706219,4868,-8568,13664,629,536,1335,insert_bolts_hand_tighten
2706241,4804,-8268,13820,454,563,1360,insert_bolts_hand_tighten
2706263,4804,-8224,13844,319,682,1320,insert_bolts_hand_tighten
2706285,4788,-8108,13664,196,612,1194,insert_bolts_hand_tighten
2706307,4740,-7892,13460,20,565,1141,insert_bolts_hand_tighten
2706329,4660,-7664,13400,-125,509,1000,insert_bolts_hand_tighten
