time_ms,ax,ay,az,gx,gy,gz,label
1150599,14256,-2420,13428,-541,756,358,insert_bolts
1150621,15044,-1332,12328,-3377,2772,696,insert_bolts
1150643,15184,-1688,10064,-5996,1748,1497,insert_bolts
1150665,17672,-2976,10440,-5200,3904,2373,insert_bolts
1150687,18036,-3440,12056,-7106,6930,4108,insert_bolts
1150709,17324,-3204,12544,-8942,9162,4698,insert_bolts
1150731,16132,-4936,11916,-8351,8633,4934,insert_bolts
1150753,14596,-4656,12392,-4713,10611,4901,insert_bolts
1150775,13848,-4104,12628,-4061,9810,5012,insert_bolts
1150797,12888,-3744,12740,-4096,10061,4782,insert_bolts
1150819,11444,-4160,12492,-6025,9826,4400,insert_bolts
1150841,9852,-5756,12136,-5789,9671,3777,insert_bolts
1150863,8588,-5528,13160,-4322,9730,3446,insert_bolts
1150885,7800,-5012,13264,-3481,9340,3206,insert_bolts
1150907,6948,-5928,12800,-2501,7817,2395,insert_bolts
1150929,6808,-5208,12892,-1343,8015,1982,insert_bolts
1150951,6148,-4868,13660,-2101,7487,1866,insert_bolts
1150973,5996,-5728,13876,-1543,6912,1185,insert_bolts
1150995,5876,-5360,13388,-410,6959,366,insert_bolts
1151017,5308,-5012,13344,-650,7481,-245,insert_bolts
1151039,5044,-5316,13348,-1417,6845,-335,insert_bolts
1151061,4944,-5504,13516,-1356,6313,-512,insert_bolts
1151083,4724,-5352,13336,-661,6084,-835,insert_bolts
1151105,4476,-5304,13152,407,5496,-1331,insert_bolts
1151127,4272,-5016,12516,1755,5434,-1573,insert_bolts
1151149,3828,-4768,12644,1644,5182,-1787,insert_bolts
1151171,3540,-4816,13096,273,4098,-1752,insert_bolts
1151193,3824,-5036,13740,-1306,2451,-1592,insert_bolts
1151215,3988,-5652,13436,-475,1435,-1923,insert_bolts
1151237,4148,-5560,13216,1359,1544,-2269,insert_bolts
1151259,4260,-5028,13668,2195,1719,-2145,insert_bolts
1151281,3928,-4728,14128,1798,1496,-1796,insert_bolts
1151303,3876,-4656,14520,997,1252,-1768,insert_bolts
1151325,4144,-4824,14972,39,410,-1507,insert_bolts
1151347,4268,-5748,15592,595,315,-1538,insert_bolts
1151369,4460,-5108,15892,1093,605,-1490,insert_bolts
1151391,4312,-5008,16064,-354,446,-1181,insert_bolts
1151413,4436,-5476,16280,-938,431,-936,insert_bolts
1151435,4448,-5536,16080,-648,791,-814,insert_bolts
1151457,4140,-5208,15700,-180,1228,-544,insert_bolts
1151479,3808,-4988,16020,-286,1007,-189,insert_bolts
1151501,4296,-5084,15936,-273,478,-187,insert_bolts
1151523,4100,-4784,15316,-944,460,-210,insert_bolts
1151545,4388,-5100,15132,-938,548,-263,insert_bolts
1151567,4480,-5168,15252,256,923,-434,insert_bolts
1151589,4308,-4632,14968,48,980,-334,insert_bolts
1151611,4372,-4892,15204,-409,370,-151,insert_bolts
1151633,4784,-4964,15320,-286,221,-79,insert_bolts
1151655,4632,-4836,15028,-375,302,-135,insert_bolts
1151677,4868,-4640,15252,-357,235,-130,insert_bolts
1151699,4804,-4992,15324,-253,176,-347,insert_bolts
1151721,5004,-5084,15684,-399,218,-403,insert_bolts
1151743,5000,-5028,15452,-1100,-99,-238,insert_bolts
1151765,5132,-5292,15524,-1385,-241,18,insert_bolts
1151787,5168,-5700,15240,-360,-83,172,insert_bolts
1151809,5284,-5088,15504,403,209,252,insert_bolts
1151831,4908,-4944,15112,-258,115,383,insert_bolts
1151853,4956,-5060,15332,-714,51,333,insert_bolts
1151875,5056,-5192,15536,-1003,17,330,insert_bolts
1151897,4880,-5372,15432,-346,219,85,insert_bolts
1151919,4904,-5008,15504,-33,296,110,insert_bolts
1151941,4800,-4944,15280,-600,214,220,insert_bolts
1151963,4912,-5080,15544,-765,108,118,insert_bolts
1151985,5028,-5140,15356,-413,459,63,insert_bolts
1152007,4924,-5204,15504,-107,446,-53,insert_bolts
1152029,5076,-4784,15456,-214,436,119,insert_bolts
1152051,4940,-4760,15692,-392,487,65,insert_bolts
1152073,4992,-4996,15468,-648,454,48,insert_bolts
1152095,4876,-4976,15396,-360,625,-94,insert_bolts
1152117,4764,-5076,15372,33,441,-257,insert_bolts
1152139,4816,-4796,15320,-52,509,-258,insert_bolts
1152161,4836,-5084,15428,-599,143,-218,insert_bolts
1152183,4812,-5096,15348,-554,359,-287,insert_bolts
1152205,4752,-5312,15312,-545,424,-274,insert_bolts
1152227,4780,-5300,15272,-218,470,-235,insert_bolts
1152249,4596,-5408,15260,-170,315,-278,insert_bolts
1152271,4812,-5312,15188,-241,234,-182,insert_bolts
1152293,4732,-5324,15360,-725,144,-95,insert_bolts
1152315,4808,-5620,15152,-448,141,-256,insert_bolts
1152337,4744,-5276,15188,-244,303,-165,insert_bolts
1152359,4880,-5492,15152,-400,49,-87,insert_bolts
1152381,4784,-5416,15176,-522,62,-42,insert_bolts
1152403,4980,-5532,15180,-701,54,67,insert_bolts
1152425,4940,-5432,15244,-790,21,176,insert_bolts
1152447,5048,-5692,15100,-752,-67,195,insert_bolts
1152469,4888,-5496,15124,-267,242,137,insert_bolts
1152491,4800,-5304,15132,-273,258,253,insert_bolts
1152513,4724,-5184,15252,-701,182,292,insert_bolts
1152535,4648,-5340,15104,-708,-56,189,insert_bolts
1152557,4868,-5336,15428,-316,62,153,insert_bolts
1152579,4804,-5248,15404,-528,-13,188,insert_bolts
1152601,4896,-5388,15416,-551,-95,161,insert_bolts
1152623,4968,-5304,15536,-128,131,54,insert_bolts
1152645,4780,-5136,15536,-307,192,155,insert_bolts
1152667,4824,-5348,15508,-617,74,141,insert_bolts
1152689,4836,-5360,15328,-457,253,65,insert_bolts
1152711,4732,-5428,15092,-425,2,88,insert_bolts
1152733,4980,-5432,15180,-334,-124,93,insert_bolts
1152755,4868,-5424,14940,-170,-125,129,insert_bolts
1152777,4952,-5576,14988,-142,14,111,insert_bolts
1152799,4860,-5456,15012,-243,17,60,insert_bolts
1152821,5116,-5320,15020,-86,-52,3,insert_bolts
1152843,5060,-5444,15104,-254,-2,-66,insert_bolts
1152865,5068,-5480,15272,-518,94,-10,insert_bolts
1152887,5032,-5604,15196,-485,73,53,insert_bolts
1152909,4976,-5448,15220,-304,218,131,insert_bolts
1152931,5004,-5320,15220,-346,-67,117,insert_bolts
1152953,4996,-5356,15152,-389,-92,-19,insert_bolts
1152975,5116,-5424,15196,-365,91,20,insert_bolts
1152997,5040,-5464,15536,-498,95,127,insert_bolts
1153019,5076,-5540,15304,-441,-9,61,insert_bolts
1153041,4956,-5644,15252,-147,44,61,insert_bolts
1153063,5176,-5508,15304,169,16,79,insert_bolts
1153085,5100,-5352,15344,44,-3,225,insert_bolts
1153107,5000,-5468,15160,-144,25,204,insert_bolts
1153129,4996,-5360,15128,-23,217,97,insert_bolts
1153151,5108,-5420,15280,136,140,-42,insert_bolts
1153173,5060,-5300,15188,37,240,-120,insert_bolts
1153195,5112,-5304,15180,-290,253,-176,insert_bolts
1153217,5164,-5416,15236,-341,269,-122,insert_bolts
1153239,5076,-5436,14964,-170,359,-170,insert_bolts
1153261,4976,-5180,14940,-126,248,-94,insert_bolts
1153283,4872,-5008,14728,-356,9,-171,insert_bolts
1153305,4932,-4684,14620,-483,-86,-464,insert_bolts
1153327,4812,-4264,14188,-888,-165,-794,insert_bolts
1153349,4744,-4012,13880,-1744,-342,-1021,insert_bolts
1153371,4700,-3588,13692,-2210,63,-1456,insert_bolts
1153393,4224,-3272,13456,-2926,400,-2018,insert_bolts
1153415,3776,-2944,13296,-3101,325,-3259,insert_bolts
1153437,3612,-2620,13092,-4036,-760,-4722,insert_bolts
1153459,4896,-2748,13236,-5627,-1674,-5805,insert_bolts
1153481,4684,-3600,13572,-5935,-1387,-8297,insert_bolts
1153503,5400,-3704,13712,-6485,-1797,-9379,insert_bolts
1153525,5420,-3172,13500,-10748,-2283,-9440,insert_bolts
1153547,6484,-5488,13724,-12000,-3831,-10197,insert_bolts
1153569,7052,-6880,13468,-8291,-2936,-11067,insert_bolts
1153591,7052,-6468,13248,-5069,-2667,-11251,insert_bolts
1153613,7076,-5880,12864,-5737,-3604,-10876,insert_bolts
1153635,7880,-6216,12504,-7691,-5499,-10479,insert_bolts
1153657,8620,-7932,11732,-5754,-5616,-10650,insert_bolts
1153679,8364,-8052,12176,-3045,-3550,-10970,insert_bolts
1153701,9364,-6364,12304,-3293,-4900,-10728,insert_bolts
1153723,10512,-7600,12108,-3962,-5464,-9754,insert_bolts
1153745,10964,-7484,11748,-2803,-4167,-9400,insert_bolts
1153767,11336,-7188,12004,-2897,-4468,-8421,insert_bolts
1153789,11884,-7404,11696,-2452,-3619,-7553,insert_bolts
1153811,12660,-7216,11956,-1776,-3501,-6680,insert_bolts
1153833,12696,-7012,11372,-918,-2622,-6350,insert_bolts
1153855,12916,-7124,11064,189,-1708,-6090,insert_bolts
1153877,13260,-6212,12580,92,-177,-5252,insert_bolts
1153899,12984,-5716,13708,-1812,422,-3971,insert_bolts
1153921,12364,-5884,12452,-3707,-577,-3255,insert_bolts
1153943,12748,-6480,12168,-2638,-1076,-2659,insert_bolts
1153965,12512,-6368,11548,-251,-730,-2133,insert_bolts
1153987,12532,-5148,11932,1090,-7,-1232,insert_bolts
1154009,11868,-4960,11892,-1237,-140,-458,insert_bolts
1154031,12208,-5160,12512,-1153,-649,-225,insert_bolts
1154053,12160,-5640,11252,21,-1570,28,insert_bolts
1154075,12244,-5724,10048,1004,-1066,-6,insert_bolts
1154097,12600,-5140,12112,1367,1386,934,insert_bolts
1154119,11616,-4888,12316,736,1658,917,insert_bolts
1154141,11368,-4996,11860,-859,612,871,insert_bolts
1154163,11732,-3816,11928,-4009,-215,1231,insert_bolts
1154185,11520,-4588,11292,-7683,-124,1475,insert_bolts
1154207,11604,-6332,11516,-8399,1591,1790,insert_bolts
1154229,11220,-6808,11752,-7986,1666,1650,insert_bolts
1154251,11076,-7556,11284,-6226,1187,1157,insert_bolts
1154273,10752,-8680,11228,-2355,-217,159,insert_bolts
1154295,10472,-8820,10728,1320,416,-1624,insert_bolts
1154317,10476,-5904,10136,3857,-383,-2857,insert_bolts
1154339,10656,-3028,9940,1805,151,-2180,insert_bolts
1154361,10920,-5656,10228,-1260,-818,-1992,insert_bolts
1154383,11976,-6384,10876,1802,433,-2736,insert_bolts
1154405,11860,-4296,11280,3981,756,-3000,insert_bolts
1154427,12040,-3672,10624,1102,-522,-3135,insert_bolts
1154449,14624,-4052,10944,-947,-764,-1300,insert_bolts
1154471,13252,-5240,12092,-1869,-81,-1334,insert_bolts
1154493,12432,-4364,11716,91,476,-621,insert_bolts
1154515,13104,-4696,10684,-1457,-414,101,insert_bolts
1154537,12568,-4904,10344,-2588,587,831,insert_bolts
1154559,13052,-4972,11272,806,937,1412,insert_bolts
1154581,13784,-6484,12712,1313,1739,1550,insert_bolts
1154603,15084,-5736,13704,-512,3508,3219,insert_bolts
1154625,14340,-7680,14460,-6492,4481,4645,insert_bolts
1154647,14472,-8872,14120,-5958,5788,7804,insert_bolts
1154669,13848,-10052,12288,-5885,4488,10646,insert_bolts
1154691,14564,-12460,11468,-3036,4233,13535,insert_bolts
1154713,14192,-11816,10784,-2187,3217,15927,insert_bolts
1154735,13680,-12552,9768,-2044,758,18216,insert_bolts
1154757,12896,-13304,9400,-971,-736,19867,insert_bolts
1154779,11796,-11496,10100,229,745,21052,insert_bolts
1154801,10248,-11572,10484,-1079,-920,22428,insert_bolts
1154823,8864,-11284,10056,-2767,-1283,22428,insert_bolts
1154845,7692,-10544,9524,-5206,-577,21017,insert_bolts
1154867,6436,-10560,8796,-7588,-1973,20738,insert_bolts
1154889,5552,-10780,9292,-7760,-2128,20732,insert_bolts
1154911,4384,-11240,8456,-5437,-3055,20523,insert_bolts
1154933,3616,-10312,7324,-3387,-4880,20218,insert_bolts
1154955,3392,-9440,7056,-3427,-4871,19737,insert_bolts
1154977,2924,-9840,8704,-5221,-4243,19126,insert_bolts
1154999,2944,-10876,8516,-5276,-5003,17665,insert_bolts
1155021,1868,-10180,8688,-5824,-4547,15509,insert_bolts
1155043,1280,-9192,9764,-7227,-5097,12794,insert_bolts
1155065,1300,-10772,8772,-5244,-6381,10577,insert_bolts
1155087,1924,-10500,8132,-4751,-6136,9189,insert_bolts
1155109,1624,-12936,8732,-2558,-4318,7900,insert_bolts
1155131,1320,-11384,9544,322,-3491,5782,insert_bolts
1155153,488,-11080,9828,406,-3432,4442,insert_bolts
1155175,888,-10744,9844,372,-3680,2915,insert_bolts
1155197,1604,-12784,8492,2359,-3403,1933,insert_bolts
1155219,1720,-14540,8860,8629,-1657,1467,insert_bolts
1155241,1080,-13836,9380,12019,232,302,insert_bolts
1155263,1116,-11276,10628,10927,-1480,-714,insert_bolts
1155285,568,-10988,11636,5517,-1531,-687,insert_bolts
1155307,756,-12340,10604,4989,-2684,-1613,insert_bolts
1155329,1816,-12380,9580,6225,-2150,-1230,insert_bolts
1155351,1584,-14156,10460,7758,-775,-579,insert_bolts
1155373,1056,-11600,11332,7526,531,-828,insert_bolts
1155395,832,-11320,12984,2611,110,70,insert_bolts
1155417,1020,-11064,13200,-3,-25,265,insert_bolts
1155439,876,-12556,11664,-942,-1087,432,insert_bolts
1155461,256,-12980,10700,418,-1082,596,insert_bolts
1155483,1080,-12892,10456,1357,-1725,1166,insert_bolts
1155505,972,-12380,10956,1382,-1277,1571,insert_bolts
1155527,1240,-12564,11392,1567,-1633,668,insert_bolts
1155549,1176,-12764,11772,4100,-945,-60,insert_bolts
1155571,1184,-11912,11836,6627,-1172,-386,insert_bolts
1155593,1244,-11428,12348,3965,-789,475,insert_bolts
1155615,1720,-10204,12008,3751,-984,794,insert_bolts
1155637,1112,-12000,11520,2834,-1138,856,insert_bolts
1155659,1032,-12040,12080,5266,-143,411,insert_bolts
1155681,1540,-10192,12596,3733,-185,489,insert_bolts
1155703,1492,-9836,13224,367,-486,457,insert_bolts
1155725,1548,-11172,12248,-1054,-192,307,insert_bolts
1155747,1984,-13464,12276,3981,440,-208,insert_bolts
1155769,1640,-11160,12572,9200,1804,252,insert_bolts
1155791,572,-9284,13140,6465,1053,929,insert_bolts
1155813,1164,-9324,13520,3193,-173,621,insert_bolts
1155835,1080,-10604,12740,3176,-568,569,insert_bolts
1155857,1848,-10356,12888,6886,504,493,insert_bolts
1155879,696,-8716,13160,6898,1135,921,insert_bolts
1155901,612,-8780,13932,4323,593,953,insert_bolts
1155923,1340,-8300,14576,3483,271,1083,insert_bolts
1155945,1240,-7676,15344,1038,-146,1990,insert_bolts
1155967,600,-8012,15616,-1553,-73,2504,insert_bolts
1155989,1032,-9344,14980,-4596,-2638,2321,insert_bolts
1156011,1756,-9896,14604,-2632,-1951,254,insert_bolts
1156033,656,-8996,13692,-1975,104,-250,insert_bolts
1156055,1100,-8840,14300,-2010,486,337,insert_bolts
1156077,432,-9216,14436,-4629,-393,644,insert_bolts
1156099,96,-10980,13116,-5496,-291,288,insert_bolts
1156121,708,-13200,12620,1648,98,-570,insert_bolts
1156143,-32,-9888,12164,6166,592,161,insert_bolts
1156165,124,-8576,11468,4725,-2316,1803,insert_bolts
1156187,1156,-8032,12984,2747,-825,2358,insert_bolts
1156209,620,-8136,12764,-1255,-1032,2122,insert_bolts
1156231,768,-9448,12548,-2615,-932,695,insert_bolts
1156253,940,-9708,13596,-1944,184,-617,insert_bolts
1156275,796,-9532,14620,-2568,-73,-1374,insert_bolts
1156297,1996,-9096,16940,-5796,-1181,-1208,insert_bolts
1156319,1412,-8456,15224,-10742,-2781,-879,insert_bolts
1156341,1064,-10532,12464,-12680,-3339,-1984,insert_bolts
1156363,2064,-13248,10848,-2372,-3657,-3819,insert_bolts
1156385,2292,-9020,13216,1749,-458,-2015,insert_bolts
1156407,2576,-9256,13920,-1034,-2040,226,insert_bolts
1156429,2188,-9804,10864,-2647,-2780,-53,insert_bolts
1156451,3384,-16412,8604,4405,-1103,-1534,insert_bolts
1156473,2960,-12436,10508,15383,5519,-1855,insert_bolts
1156495,924,-7048,13276,11656,4247,347,insert_bolts
1156517,848,-6456,14924,5081,1819,1167,insert_bolts
1156539,1640,-6932,15296,-275,-705,818,insert_bolts
1156561,916,-7080,13172,-4038,-815,-238,insert_bolts
1156583,1444,-6796,12208,-4498,-422,14,insert_bolts
1156605,3348,-9956,13908,-2643,1283,3232,insert_bolts
1156627,2972,-11896,15620,-2475,2893,4817,insert_bolts
1156649,1300,-13192,14100,-2847,559,4272,insert_bolts
1156671,1736,-14684,13032,2135,-1136,597,insert_bolts
1156693,704,-9564,12592,5241,1767,5,insert_bolts
1156715,2996,-7380,12556,4492,418,77,insert_bolts
1156737,684,-8044,14552,-1954,1755,1085,insert_bolts
1156759,844,-9212,13988,-4259,1563,324,insert_bolts
1156781,388,-9160,13568,-5652,-639,-1379,insert_bolts
1156803,804,-11144,13356,-3678,-1594,-3158,insert_bolts
1156825,812,-9044,14376,-1230,-356,-3604,insert_bolts
1156847,400,-8068,13496,-3183,-1178,-3101,insert_bolts
1156869,1780,-8024,11520,-3324,-1624,-1761,insert_bolts
1156891,2584,-7212,12352,-4290,-660,-1545,insert_bolts
1156913,1148,-8444,13420,-10998,318,-1144,insert_bolts
1156935,3324,-10524,13340,-13380,-2051,-824,insert_bolts
1156957,2376,-14756,11268,-11843,-1263,-1250,insert_bolts
1156979,3964,-15340,11356,-1540,707,-2365,insert_bolts
1157001,1984,-12044,12432,1978,1228,-1825,insert_bolts
1157023,1748,-10208,12696,175,995,-1743,insert_bolts
1157045,1608,-9380,11248,-3479,-2206,-1314,insert_bolts
1157067,2572,-9024,10564,-7729,-944,-1022,insert_bolts
1157089,2116,-11080,10816,-13115,-661,-376,insert_bolts
1157111,2224,-12868,10608,-14072,-636,-945,insert_bolts
