time_ms,ax,ay,az,gx,gy,gz,label
681163,3892,-6784,15016,218,93,-397,place_gasket
681185,3964,-6828,14864,30,202,-287,place_gasket
681207,3944,-6712,14684,123,167,-230,place_gasket
681229,3800,-6676,14596,269,87,-115,place_gasket
681251,3940,-6452,14456,471,-155,-212,place_gasket
681273,3844,-6644,14792,154,-260,-106,place_gasket
681295,4036,-6472,14676,-48,-121,19,place_gasket
681317,3904,-6584,14652,-131,15,115,place_gasket
681339,3964,-6904,15060,-41,-15,162,place_gasket
681361,4264,-6832,14972,-207,90,199,place_gasket
681383,4424,-6992,15116,-595,324,281,place_gasket
681405,4492,-7000,15292,-711,413,278,place_gasket
681427,4856,-6996,15536,-969,482,127,place_gasket
681449,4756,-7088,15380,-1428,716,209,place_gasket
681471,4856,-7032,15360,-1631,800,277,place_gasket
681493,4516,-7024,15224,-1752,825,566,place_gasket
681515,4484,-7056,15000,-1534,604,783,place_gasket
681537,4452,-6912,14600,-1094,520,848,place_gasket
681559,4368,-6928,14352,-1169,272,936,place_gasket
681581,4332,-6836,14408,-1292,37,970,place_gasket
681603,4124,-7040,14328,-977,-179,1094,place_gasket
681625,3908,-7060,14336,-608,-382,1200,place_gasket
681647,3732,-7076,14500,-259,-496,1115,place_gasket
681669,3884,-6884,14728,-223,-593,1024,place_gasket
681691,3952,-7028,15040,-147,-475,709,place_gasket
681713,3936,-6852,15044,-535,-153,430,place_gasket
681735,3940,-7040,14956,-782,-13,234,place_gasket
681757,3816,-7112,15004,-398,188,131,place_gasket
681779,3736,-7104,15004,-1,186,-40,place_gasket
681801,3776,-7036,14936,-43,178,-49,place_gasket
681823,3872,-7200,14844,-251,280,-40,place_gasket
681845,4016,-6936,14908,-365,380,-103,place_gasket
681867,3972,-7260,14628,-279,495,-63,place_gasket
681889,3776,-7004,14540,-134,460,-60,place_gasket
681911,3624,-7156,14412,-294,183,-104,place_gasket
681933,3796,-7296,14312,-635,-111,-101,place_gasket
681955,3952,-7416,14236,-854,-459,169,place_gasket
681977,4148,-7752,14424,-265,-721,434,place_gasket
681999,4016,-7472,14632,566,-699,639,place_gasket
682021,4044,-7164,14520,699,-530,547,place_gasket
682043,4116,-6904,14656,137,-161,393,place_gasket
682065,3896,-6984,14528,-495,7,67,place_gasket
682087,3912,-7164,14584,-567,76,-47,place_gasket
682109,4036,-7412,14748,-375,-38,-179,place_gasket
682131,4080,-7540,14732,-266,7,-56,place_gasket
682153,3836,-8308,14248,-67,-484,-485,place_gasket
682175,3924,-6728,15056,-208,743,478,place_gasket
682197,3992,-7792,14860,-179,165,208,place_gasket
682219,3908,-7196,14972,-597,609,109,place_gasket
682241,4424,-7624,14856,-333,407,340,place_gasket
682263,4076,-7168,15000,303,475,745,place_gasket
682285,3800,-7096,15000,360,384,663,place_gasket
682307,4092,-7048,14920,464,344,665,place_gasket
682329,4124,-6792,14880,316,407,244,place_gasket
682351,4000,-6608,14736,-304,1128,63,place_gasket
682373,4052,-6788,14348,-426,1282,-67,place_gasket
682395,4084,-6788,14320,0,1533,-130,place_gasket
682417,3928,-6964,14096,567,674,-169,place_gasket
682439,3784,-6964,14584,935,171,-374,place_gasket
682461,4036,-6664,14324,493,-152,-773,place_gasket
682483,3756,-7080,14092,682,-521,434,place_gasket
682505,4092,-7224,14436,507,-1185,14,place_gasket
682527,4180,-7016,14668,796,-810,50,place_gasket
682549,4072,-6904,14932,507,-641,-52,place_gasket
682571,4080,-6952,14844,195,-612,-170,place_gasket
682593,4156,-7028,15052,10,-482,-98,place_gasket
682615,4156,-6972,14892,-126,-502,22,place_gasket
682637,4208,-7192,15080,370,-546,79,place_gasket
682659,4252,-6932,15208,279,-431,69,place_gasket
682681,4480,-7052,15296,22,-234,88,place_gasket
682703,4316,-6980,15312,-4,-216,218,place_gasket
682725,4428,-6632,15252,-151,-98,133,place_gasket
682747,4312,-6704,15108,-223,-5,6,place_gasket
682769,4360,-6536,15328,19,108,187,place_gasket
682791,4136,-6416,15088,-170,305,66,place_gasket
682813,4184,-6420,14956,-287,257,23,place_gasket
682835,4124,-6640,14976,-386,188,-46,place_gasket
682857,4080,-6564,15036,-262,166,-41,place_gasket
682879,4108,-6652,14812,129,122,9,place_gasket
682901,4216,-6588,14932,422,214,171,place_gasket
682923,4160,-6512,15004,181,193,111,place_gasket
682945,4280,-6484,14904,-268,257,84,place_gasket
682967,4220,-6512,14960,-288,348,4,place_gasket
682989,4244,-6536,15004,-151,417,-55,place_gasket
683011,4312,-6592,14788,29,409,-134,place_gasket
683033,4328,-6672,14908,167,330,-75,place_gasket
683055,4324,-6608,15004,-135,351,-154,place_gasket
683077,4408,-6588,14956,-373,433,-127,place_gasket
683099,4428,-6740,15040,-224,459,-191,place_gasket
683121,4264,-6600,14820,-43,442,-147,place_gasket
683143,4228,-6676,14976,-117,376,-245,place_gasket
683165,4348,-6580,14888,-300,297,-282,place_gasket
683187,4304,-6712,14964,-305,241,-250,place_gasket
683209,4352,-6748,14948,-349,347,-247,place_gasket
683231,4348,-6660,14916,-268,369,-199,place_gasket
683253,4232,-6660,14984,-273,388,-196,place_gasket
683275,4248,-6616,15016,-238,351,-235,place_gasket
683297,4268,-6708,14996,-101,384,-228,place_gasket
683319,4296,-6660,14908,-188,468,-304,place_gasket
683341,4256,-6664,14908,-262,495,-274,place_gasket
683363,4164,-6676,14868,-273,471,-204,place_gasket
683385,4200,-6720,14916,-214,371,-265,place_gasket
683407,4256,-6664,14840,-289,327,-266,place_gasket
683429,4240,-6780,14920,-172,335,-151,place_gasket
683451,4188,-6628,14892,-146,329,-34,place_gasket
683473,4320,-6580,15008,-123,292,-50,place_gasket
683495,4256,-6684,15076,-200,224,-72,place_gasket
683517,4260,-6516,15084,-200,250,-40,place_gasket
683539,4244,-6632,15024,-124,237,-63,place_gasket
683561,4296,-6524,15064,-107,293,12,place_gasket
683583,4204,-6536,15104,-118,254,39,place_gasket
683605,4204,-6524,14816,-129,299,-12,place_gasket
683627,4168,-6428,14960,-228,326,-3,place_gasket
