time_ms,ax,ay,az,gx,gy,gz,label
2794593,11652,268,12776,542,1272,275,wrench_tighten
2794615,11172,716,12464,202,373,302,wrench_tighten
2794637,11624,740,12412,-530,-574,643,wrench_tighten
2794659,11780,692,12244,-1240,-782,708,wrench_tighten
2794681,12088,656,12452,-374,93,421,wrench_tighten
2794703,12200,544,12612,87,588,70,wrench_tighten
2794725,13480,1064,12784,-1627,989,-473,wrench_tighten
2794747,15252,640,13548,-6508,2639,271,wrench_tighten
2794769,16116,-3000,14412,-10621,5694,1695,wrench_tighten
2794791,17604,-2812,17652,-9450,13048,2429,wrench_tighten
2794813,17256,-1812,18900,-12304,14517,4459,wrench_tighten
2794835,17036,-4432,18040,-16702,11961,6326,wrench_tighten
2794857,16508,-6168,18416,-18656,12328,8766,wrench_tighten
2794879,15500,-6172,18244,-20501,11129,12025,wrench_tighten
2794901,13280,-6404,16880,-19435,9456,14087,wrench_tighten
2794923,11672,-5008,15336,-20376,7041,17666,wrench_tighten
2794945,9060,-6456,14084,-22909,8573,19689,wrench_tighten
2794967,5604,-8460,10180,-22890,3857,20039,wrench_tighten
2794989,4568,-11060,7696,-19645,-770,19586,wrench_tighten
2795011,4504,-11376,7076,-12736,-651,17962,wrench_tighten
2795033,2284,-7412,8036,-7621,-4101,16210,wrench_tighten
2795055,1584,-5008,8328,-4103,-8712,12606,wrench_tighten
2795077,3068,-5116,7340,-5700,-10332,8567,wrench_tighten
2795099,3060,-4236,6664,-6659,-10567,5469,wrench_tighten
2795121,4048,-5364,8044,-3664,-6716,3496,wrench_tighten
2795143,4752,-7172,10332,-2483,-3867,3013,wrench_tighten
2795165,4584,-6788,11700,-3718,-353,1394,wrench_tighten
2795187,3600,-6872,10800,-8577,1260,232,wrench_tighten
2795209,2988,-9280,8780,-11398,2320,-1425,wrench_tighten
2795231,3500,-13132,7856,-6254,3766,-2202,wrench_tighten
2795253,3728,-13612,9252,1131,6675,-2992,wrench_tighten
2795275,4040,-11368,10096,2079,5731,-1463,wrench_tighten
2795297,4036,-11244,11412,1298,5387,-1242,wrench_tighten
2795319,3800,-12128,11860,1767,5035,-1520,wrench_tighten
2795341,4668,-11296,11304,-1120,3759,-824,wrench_tighten
2795363,4384,-12252,10528,-2883,3368,-265,wrench_tighten
2795385,4308,-13420,9832,-3372,3937,-124,wrench_tighten
2795407,4376,-13780,9876,-1390,4947,-455,wrench_tighten
2795429,3920,-13084,10760,548,4975,-513,wrench_tighten
2795451,3712,-11884,10972,406,4126,-726,wrench_tighten
2795473,3784,-11280,10492,-1338,3242,-1219,wrench_tighten
2795495,3768,-12492,9596,-1306,3190,-1731,wrench_tighten
2795517,4008,-12824,8832,898,3094,-2553,wrench_tighten
2795539,3940,-11512,8336,2292,3414,-3086,wrench_tighten
2795561,3760,-10036,8036,2307,4008,-3868,wrench_tighten
2795583,3408,-7844,8004,631,3738,-4537,wrench_tighten
2795605,2656,-7748,7568,-377,3158,-5604,wrench_tighten
2795627,2436,-7776,6420,2170,2683,-7887,wrench_tighten
2795649,2944,-7328,7156,3568,777,-9475,wrench_tighten
2795671,4064,-6904,8144,780,-1048,-11381,wrench_tighten
2795693,5092,-8544,8336,1015,-3002,-11985,wrench_tighten
2795715,5104,-9136,6812,8995,-3187,-13907,wrench_tighten
2795737,6364,-8632,7352,11844,-3708,-14045,wrench_tighten
2795759,8168,-5548,11224,2448,-4854,-12684,wrench_tighten
2795781,8284,-11184,11024,263,-4536,-13451,wrench_tighten
2795803,10296,-11820,9948,13504,-3511,-15193,wrench_tighten
2795825,11244,-9152,12948,15192,-185,-13453,wrench_tighten
2795847,10780,-4440,13892,2536,-3492,-12193,wrench_tighten
2795869,12140,-9264,13468,-1543,-4031,-12857,wrench_tighten
2795891,12648,-10964,12892,5398,-2580,-12939,wrench_tighten
2795913,13384,-6988,13232,4733,-2023,-11118,wrench_tighten
2795935,13828,-6304,13232,-472,-2442,-9657,wrench_tighten
2795957,13632,-7500,12524,-4752,-1052,-8802,wrench_tighten
2795979,13248,-8024,13456,-1792,-357,-8494,wrench_tighten
2796001,13084,-7172,12516,-3438,-525,-6820,wrench_tighten
2796023,13136,-7876,12348,-5638,367,-6339,wrench_tighten
2796045,12952,-7176,11540,-6090,667,-6198,wrench_tighten
2796067,12312,-6744,11444,-4849,818,-6074,wrench_tighten
2796089,11684,-6264,11224,-3949,1684,-6109,wrench_tighten
2796111,11960,-4940,11568,-6220,1403,-6037,wrench_tighten
2796133,12496,-7892,10704,-9089,841,-6527,wrench_tighten
2796155,12768,-7432,12656,-5989,2152,-5816,wrench_tighten
2796177,11956,-7060,12256,-6439,2483,-4625,wrench_tighten
2796199,12008,-6704,11892,-9708,1703,-3621,wrench_tighten
2796221,11648,-8388,10556,-11137,446,-3329,wrench_tighten
2796243,12108,-9532,10576,-7376,816,-2867,wrench_tighten
2796265,11652,-8244,10428,-2583,1553,-1858,wrench_tighten
2796287,11344,-6688,10188,-2071,1717,-1510,wrench_tighten
2796309,10952,-5956,10644,-4421,1269,-1663,wrench_tighten
2796331,11244,-7240,9832,-5787,706,-2294,wrench_tighten
2796353,11628,-7680,10080,-2002,813,-2206,wrench_tighten
2796375,11752,-6240,9904,63,255,-1771,wrench_tighten
2796397,11988,-5372,10520,-69,-164,-1449,wrench_tighten
2796419,11960,-5412,10468,-1823,-535,-1516,wrench_tighten
2796441,12188,-4876,10464,-4697,-758,-1655,wrench_tighten
2796463,12536,-7632,9456,-4997,-572,-1560,wrench_tighten
2796485,12348,-6644,9976,-1707,487,-1001,wrench_tighten
2796507,12092,-6296,9808,-1795,-195,-903,wrench_tighten
2796529,12344,-5284,9904,-3378,-960,-694,wrench_tighten
2796551,12220,-6272,9588,-3795,-1352,-933,wrench_tighten
2796573,12588,-7160,8900,-1962,-907,-1199,wrench_tighten
2796595,12464,-7284,9128,80,-672,-1186,wrench_tighten
2796617,12440,-6256,9592,680,-231,-1034,wrench_tighten
2796639,12504,-6304,9620,-580,-433,-1558,wrench_tighten
2796661,12584,-6476,9364,-1128,-216,-2076,wrench_tighten
2796683,13240,-7088,9548,-337,-218,-2018,wrench_tighten
2796705,12900,-7608,9392,2254,12,-971,wrench_tighten
