time_ms,ax,ay,az,gx,gy,gz,label
1662077,12816,-2080,12156,662,737,-4,insert_bolt_nut
1662099,13776,-1136,12116,-2231,815,42,insert_bolt_nut
1662121,14420,-772,11756,-5471,1236,538,insert_bolt_nut
1662143,15400,-1840,10320,-7081,2756,374,insert_bolt_nut
1662165,16344,-1684,9808,-7152,5693,1112,insert_bolt_nut
1662187,16344,-2356,10336,-10578,8237,1516,insert_bolt_nut
1662209,15864,-2432,10784,-15477,9819,1341,insert_bolt_nut
1662231,15364,-3060,10492,-17233,10098,910,insert_bolt_nut
1662253,14576,-2832,10472,-19799,9480,832,insert_bolt_nut
1662275,14272,-3764,10184,-20382,9736,1270,insert_bolt_nut
1662297,13496,-5244,9384,-19140,9950,1173,insert_bolt_nut
1662319,12112,-6616,9604,-15934,11234,510,insert_bolt_nut
1662341,10936,-6160,10516,-16569,11913,141,insert_bolt_nut
1662363,9800,-7616,10864,-16244,10107,-554,insert_bolt_nut
1662385,8636,-8800,10096,-12485,7614,-2021,insert_bolt_nut
1662407,8076,-9616,9156,-10963,4960,-3257,insert_bolt_nut
1662429,8548,-9796,8552,-8317,5887,-3360,insert_bolt_nut
1662451,7444,-9952,8728,-7663,7206,-2491,insert_bolt_nut
1662473,6400,-9956,9828,-7848,6308,-2072,insert_bolt_nut
1662495,6168,-11436,10028,-6194,4213,-2539,insert_bolt_nut
1662517,6588,-11904,9452,-3159,3570,-3103,insert_bolt_nut
1662539,6688,-11180,9428,-2595,4294,-2924,insert_bolt_nut
1662561,6928,-11120,9456,-3825,5116,-1830,insert_bolt_nut
1662583,6944,-12160,9648,-3810,5428,-1020,insert_bolt_nut
1662605,6812,-12336,9792,-1639,5509,-424,insert_bolt_nut
1662627,6212,-12768,9368,141,5559,-50,insert_bolt_nut
1662649,7172,-12024,9992,146,5211,1146,insert_bolt_nut
1662671,6580,-12280,10404,-621,4346,2081,insert_bolt_nut
1662693,6756,-12276,10220,-959,4189,2510,insert_bolt_nut
1662715,6392,-12408,11192,183,3807,2971,insert_bolt_nut
1662737,6280,-12020,11140,2588,3737,3281,insert_bolt_nut
1662759,6132,-11196,11332,3603,4373,3540,insert_bolt_nut
1662781,5872,-11172,11452,2956,4371,3530,insert_bolt_nut
1662803,5696,-11092,12372,1497,4078,3366,insert_bolt_nut
1662825,5380,-10988,12000,123,3231,3075,insert_bolt_nut
1662847,5268,-10808,11284,99,2991,2822,insert_bolt_nut
1662869,5116,-9964,11036,375,2679,2890,insert_bolt_nut
1662891,4764,-9352,10836,804,2046,2825,insert_bolt_nut
1662913,4640,-9284,11616,1116,1159,2543,insert_bolt_nut
1662935,4760,-9088,11552,982,780,1994,insert_bolt_nut
1662957,4960,-8976,11476,-563,792,1503,insert_bolt_nut
1662979,5116,-9412,11384,-1349,874,1166,insert_bolt_nut
1663001,5120,-9700,11980,-1048,887,1030,insert_bolt_nut
1663023,5144,-9956,12128,-15,915,891,insert_bolt_nut
1663045,5212,-10136,12148,167,1075,623,insert_bolt_nut
1663067,5220,-10304,12364,-345,825,341,insert_bolt_nut
1663089,5264,-10356,12496,-887,398,128,insert_bolt_nut
1663111,5328,-10500,12624,-1067,-133,149,insert_bolt_nut
1663133,5284,-10552,12120,-683,-282,271,insert_bolt_nut
1663155,5280,-10436,12084,511,469,714,insert_bolt_nut
1663177,4796,-10212,12128,1720,1014,1166,insert_bolt_nut
1663199,4504,-9984,12372,1724,885,1188,insert_bolt_nut
1663221,4428,-9676,12432,635,370,814,insert_bolt_nut
1663243,4392,-9728,12120,-922,-89,342,insert_bolt_nut
1663265,4656,-10036,11680,-1189,-23,22,insert_bolt_nut
