time_ms,ax,ay,az,gx,gy,gz,label
160313,12060,-3472,12240,-671,824,778,lubricant
160335,12788,-3800,12332,-88,902,642,lubricant
160357,13368,-4048,12828,-531,561,501,lubricant
160379,14280,-2732,11940,-3322,1155,448,lubricant
160401,15032,-1272,8648,-7224,1804,48,lubricant
160423,17176,-2596,10528,-7851,7089,1475,lubricant
160445,17060,-3256,11920,-10673,10497,2698,lubricant
160467,16176,-4308,12228,-14875,10777,2847,lubricant
160489,15584,-5488,11720,-15810,10283,2593,lubricant
160511,14564,-6048,11708,-14520,9734,2067,lubricant
160533,13080,-6588,10348,-12377,8903,1309,lubricant
160555,11688,-6232,9544,-10845,8758,1240,lubricant
160577,10800,-6224,9948,-11653,8190,1687,lubricant
160599,9984,-7604,10392,-12350,7417,1698,lubricant
160621,9036,-8708,9832,-10873,7456,1274,lubricant
160643,8556,-9152,10248,-9431,7065,541,lubricant
160665,8208,-8880,10308,-8798,6808,84,lubricant
160687,7056,-8948,10164,-9705,5686,548,lubricant
160709,6996,-9836,9320,-9104,4361,-4,lubricant
160731,7024,-9652,8680,-7749,4363,138,lubricant
160753,6424,-8396,7896,-8144,6115,1310,lubricant
160775,5696,-9696,9800,-7556,7402,2434,lubricant
160797,4764,-9080,11340,-7491,7865,1595,lubricant
160819,4516,-10032,10612,-6003,6652,-191,lubricant
160841,4176,-8748,9476,-5274,6943,-2286,lubricant
160863,4024,-8072,8736,-6170,8116,-3376,lubricant
160885,3488,-7328,9600,-7790,8796,-3983,lubricant
160907,3976,-8668,10376,-7730,8133,-5448,lubricant
160929,4652,-9304,10024,-6706,8163,-7084,lubricant
160951,4828,-9896,10336,-7417,8195,-8424,lubricant
160973,5144,-9204,10104,-12950,7236,-9706,lubricant
160995,5752,-11524,9004,-17953,6132,-10409,lubricant
161017,6372,-12924,8888,-17414,5903,-10484,lubricant
161039,6184,-13564,9288,-17615,2624,-10514,lubricant
161061,6780,-14296,8492,-14613,-363,-9528,lubricant
161083,6780,-13868,6260,-13233,-4307,-8579,lubricant
161105,7536,-14700,4904,-12612,-4935,-7537,lubricant
161127,7976,-14252,5284,-10964,-4391,-5901,lubricant
161149,7660,-13020,5336,-13481,-5299,-4507,lubricant
161171,8156,-14432,3572,-13692,-6804,-3591,lubricant
161193,9332,-13884,4384,-7852,-3670,-2254,lubricant
161215,8844,-14652,3960,-3727,-3196,-1594,lubricant
161237,9508,-13264,3484,-3941,-1070,-1556,lubricant
161259,11028,-12268,4344,-9265,155,-1860,lubricant
161281,10768,-12380,3972,-13845,-1198,-2306,lubricant
161303,11368,-13868,2960,-12906,-1456,-2722,lubricant
161325,10840,-13548,2168,-11019,-2308,-3061,lubricant
161347,10984,-14284,340,-8423,-5677,-2353,lubricant
161369,11876,-13832,-476,-4662,-3781,-1172,lubricant
161391,11148,-13488,-868,-4568,-5923,-82,lubricant
161413,10788,-11312,-372,-6797,-5324,587,lubricant
161435,10480,-12016,400,-8859,-4291,513,lubricant
161457,9584,-13104,856,-8377,-3232,-340,lubricant
161479,10052,-12884,-736,-7158,-2936,127,lubricant
161501,9860,-12084,-2392,-10448,-4035,1399,lubricant
161523,11056,-14296,-4816,-7867,-3573,1426,lubricant
161545,11952,-16496,-3296,-4463,-1040,3251,lubricant
161567,11036,-15656,-500,-3206,1209,4318,lubricant
161589,11052,-15644,-224,-1726,1668,4652,lubricant
161611,11020,-14992,-1708,-6640,1004,5491,lubricant
161633,11168,-15420,-2492,-9296,1609,5341,lubricant
161655,11880,-16832,-2484,-7341,1922,5322,lubricant
161677,13620,-15736,-1780,904,4039,4224,lubricant
161699,11200,-10784,-1392,2406,1905,3800,lubricant
161721,12132,-11072,-2888,28,1002,2844,lubricant
161743,13060,-11516,-3208,807,2096,2651,lubricant
161765,11200,-12320,-2068,-1150,1509,3559,lubricant
161787,11232,-14056,-2412,-1826,1521,3763,lubricant
161809,10784,-14196,-2660,-1515,1441,4289,lubricant
161831,10624,-14652,-3188,-584,1569,3833,lubricant
161853,10200,-14440,-3572,140,2077,3756,lubricant
161875,9400,-14260,-3104,1650,3157,3711,lubricant
161897,9092,-14164,-2952,2367,4184,3596,lubricant
161919,8484,-12784,-2536,2659,5165,3747,lubricant
161941,9004,-13100,-2180,2525,4994,3364,lubricant
161963,8684,-12724,-2636,2029,5617,2863,lubricant
161985,8336,-12768,-2936,1005,6327,2166,lubricant
