time_ms,ax,ay,az,gx,gy,gz,label
12132582,9368,-12952,4848,135,-337,260,lubrication
12132604,9252,-12968,4696,156,-334,306,lubrication
12132626,9164,-13028,4832,245,-349,398,lubrication
12132648,9172,-12980,4840,297,-424,407,lubrication
12132670,9188,-13016,4856,285,-473,367,lubrication
12132692,9064,-13028,4852,229,-410,499,lubrication
12132714,8948,-13048,4808,251,-322,604,lubrication
12132736,9036,-12992,4776,127,-382,721,lubrication
12132758,9020,-13072,4840,177,-385,694,lubrication
12132780,9048,-13296,4776,245,-318,636,lubrication
12132802,9040,-13200,4656,242,-94,558,lubrication
12132824,9128,-13104,4684,253,-24,402,lubrication
12132846,8988,-13024,4744,284,82,316,lubrication
12132868,9152,-12900,4760,401,-147,242,lubrication
12132890,9188,-12724,4884,584,-170,221,lubrication
12132912,9380,-12832,4908,565,-4,403,lubrication
12132934,9540,-12804,4840,660,81,361,lubrication
12132956,9336,-12636,4840,926,243,95,lubrication
12132978,9256,-12652,4988,697,201,-284,lubrication
12133000,9180,-12512,4960,615,224,-596,lubrication
12133022,9164,-12340,4972,672,51,-694,lubrication
12133044,9188,-12748,5124,820,-75,-458,lubrication
12133066,9588,-13428,5428,1360,-83,-295,lubrication
12133088,9596,-13320,5356,1634,20,-167,lubrication
12133110,9564,-13332,5496,1691,137,45,lubrication
12133132,9768,-13160,5532,1784,226,89,lubrication
12133154,9524,-12816,5328,1934,381,169,lubrication
12133176,9392,-12640,5484,2094,448,114,lubrication
12133198,9656,-12664,5728,2171,490,-25,lubrication
12133220,9520,-12384,5820,1943,909,40,lubrication
12133242,9436,-12444,6128,1761,1234,-101,lubrication
12133264,9208,-12268,6112,1652,1584,-101,lubrication
12133286,9068,-12520,6260,2037,1581,-146,lubrication
12133308,9312,-12112,6252,2073,2012,56,lubrication
12133330,8972,-12348,6756,2069,2721,94,lubrication
12133352,8948,-12108,7184,2155,2088,85,lubrication
12133374,8648,-11952,6736,2374,2902,61,lubrication
12133396,8880,-11784,6628,2199,3128,-108,lubrication
12133418,8828,-11892,6708,1778,3350,-645,lubrication
12133440,8948,-11980,6932,1613,3207,-1236,lubrication
12133462,9496,-12076,7000,1137,3311,-1288,lubrication
12133484,9344,-12644,7040,551,3417,-1003,lubrication
12133506,8752,-12252,7504,774,3514,-731,lubrication
12133528,8508,-11688,7804,1519,3297,-626,lubrication
12133550,8572,-11524,7656,1781,3143,-841,lubrication
12133572,8784,-11328,7872,1236,3131,-1068,lubrication
12133594,9040,-11544,8184,877,3094,-1031,lubrication
12133616,8868,-11756,8216,609,3037,-716,lubrication
12133638,8488,-11624,8084,525,2942,-437,lubrication
12133660,8320,-11372,8196,662,2595,-256,lubrication
12133682,8516,-11312,8228,1125,2083,-240,lubrication
12133704,8240,-10924,8228,1004,1625,17,lubrication
12133726,8088,-11068,8456,473,1166,295,lubrication
12133748,7892,-11352,8720,691,663,282,lubrication
12133770,7980,-11320,9176,1703,54,319,lubrication
12133792,8252,-11196,9240,2494,-315,190,lubrication
12133814,8476,-11076,9272,1962,-382,264,lubrication
12133836,8576,-11096,9280,714,-219,535,lubrication
12133858,8904,-11248,9248,-299,41,942,lubrication
12133880,8868,-11104,8940,-561,376,1085,lubrication
12133902,8700,-11124,8884,-628,147,1168,lubrication
12133924,8440,-10732,9016,-639,-236,1312,lubrication
12133946,8188,-11176,8840,-819,-975,1413,lubrication
12133968,8092,-11500,8856,-1065,-1590,1672,lubrication
12133990,8340,-12296,8964,-1131,-2163,1835,lubrication
12134012,8512,-11892,8948,-1715,-2223,2295,lubrication
12134034,8360,-11320,8716,-2367,-2168,2784,lubrication
12134056,8172,-11604,8856,-2420,-2007,3378,lubrication
12134078,8080,-11516,9196,-1656,-2266,3540,lubrication
12134100,8272,-12232,9004,-13,-2432,3159,lubrication
12134122,8660,-12244,8820,1816,-2039,2803,lubrication
12134144,8784,-11648,8336,1951,-1312,3049,lubrication
12134166,8380,-11016,8336,250,-629,3899,lubrication
12134188,7684,-11292,8136,-1628,-673,4420,lubrication
12134210,7216,-11556,8080,-1176,-962,4209,lubrication
12134232,7068,-11860,7684,576,-1339,3460,lubrication
12134254,7208,-11644,7920,2332,-1774,3293,lubrication
12134276,7056,-11804,8088,2050,-2273,3109,lubrication
12134298,7364,-12324,8380,998,-2854,2996,lubrication
12134320,7068,-12452,8184,-82,-3341,2809,lubrication
12134342,6964,-12736,7784,34,-3304,2712,lubrication
12134364,7036,-12752,7920,430,-2931,2670,lubrication
12134386,6920,-12804,8032,862,-2596,2401,lubrication
12134408,6820,-12604,7892,700,-2151,2135,lubrication
12134430,6684,-12636,7456,599,-1655,1702,lubrication
12134452,6804,-12616,7268,582,-1262,1475,lubrication
12134474,6908,-12696,7768,809,-982,1176,lubrication
12134496,6992,-12496,7584,709,-856,716,lubrication
12134518,7280,-12636,7212,451,-409,361,lubrication
12134540,7300,-12768,7580,-68,92,188,lubrication
12134562,7200,-13136,7680,-204,291,33,lubrication
12134584,7408,-13136,7892,126,404,-43,lubrication
12134606,7352,-13312,7924,1083,915,-49,lubrication
12134628,7396,-13116,8044,2240,1601,-6,lubrication
12134650,7256,-12928,8132,2624,2115,-39,lubrication
12134672,7392,-12992,8316,3014,2544,-218,lubrication
12134694,7512,-12984,8528,2880,2589,-334,lubrication
12134716,7536,-12868,8652,2512,2514,-394,lubrication
12134738,7388,-12724,8408,2068,2518,-491,lubrication
12134760,7440,-12608,8232,1474,2545,-659,lubrication
12134782,7492,-12464,8364,972,2291,-969,lubrication
12134804,7472,-12312,8480,685,1815,-1109,lubrication
12134826,7004,-12516,8760,627,1124,-983,lubrication
12134848,6472,-12076,9364,449,335,-517,lubrication
12134870,5956,-11732,9564,775,-391,-169,lubrication
12134892,5788,-11464,9644,1998,-791,251,lubrication
12134914,6068,-11132,9620,2913,-828,376,lubrication
12134936,6516,-10848,9524,2801,-475,471,lubrication
12134958,6916,-11032,9984,1798,-192,416,lubrication
12134980,7216,-11192,10100,687,89,312,lubrication
12135002,7376,-11316,10016,17,647,93,lubrication
12135024,7188,-11344,9768,-81,1453,-94,lubrication
12135046,6916,-11024,10184,-160,1742,-143,lubrication
12135068,6492,-11096,10312,-295,1565,-387,lubrication
12135090,6648,-11012,10304,-378,1171,-571,lubrication
12135112,6884,-11444,10240,-207,933,-643,lubrication
12135134,7116,-11432,10420,392,1073,-551,lubrication
12135156,7044,-11376,10408,493,1120,-372,lubrication
12135178,7016,-11324,10428,320,1050,-134,lubrication
12135200,6772,-11144,10044,154,917,-96,lubrication
12135222,6768,-11304,9628,-1,863,-217,lubrication
