time_ms,ax,ay,az,gx,gy,gz,label
15764536,5340,-140,18444,800,1518,-364,place_align_gasket
15764558,5288,28,17920,-1169,920,-643,place_align_gasket
15764580,5984,-872,16600,-2076,117,-936,place_align_gasket
15764602,7136,-1360,16880,-2223,670,-605,place_align_gasket
15764624,7516,-844,16988,-3235,1772,-766,place_align_gasket
15764646,7228,144,15564,-3785,2094,-781,place_align_gasket
15764668,8160,1128,15736,-7157,5093,322,place_align_gasket
15764690,7804,-1216,16688,-11907,7472,1459,place_align_gasket
15764712,6064,-5848,16108,-12269,9245,1497,place_align_gasket
15764734,4892,-6792,16188,-9113,9818,953,place_align_gasket
15764756,4696,-5744,16260,-7901,9938,849,place_align_gasket
15764778,4836,-5624,15216,-7675,8512,1015,place_align_gasket
15764800,3536,-5680,13808,-9813,9265,1855,place_align_gasket
15764822,900,-8952,12044,-8202,10195,2143,place_align_gasket
15764844,472,-9520,13812,-4263,10756,1609,place_align_gasket
15764866,292,-7200,15156,-2646,10631,1982,place_align_gasket
15764888,-1564,-5964,13792,-2940,8553,2249,place_align_gasket
15764910,-2912,-5732,13236,-3632,7055,2667,place_align_gasket
15764932,-2700,-5760,13464,-3352,6076,2534,place_align_gasket
15764954,-3512,-5132,13676,-1948,5691,2667,place_align_gasket
15764976,-5540,-4336,13824,-2032,4881,2914,place_align_gasket
15764998,-5964,-4900,13780,-2774,3213,2520,place_align_gasket
15765020,-5148,-6496,14624,-1331,1927,1771,place_align_gasket
15765042,-4776,-5944,15284,637,1518,1380,place_align_gasket
15765064,-4556,-5012,14884,695,1443,1447,place_align_gasket
15765086,-4300,-5248,14296,-1077,1472,1452,place_align_gasket
15765108,-3476,-6048,14372,-1715,1867,984,place_align_gasket
15765130,-3348,-6380,14508,-1167,1927,465,place_align_gasket
15765152,-2692,-7148,15060,-181,1299,-239,place_align_gasket
15765174,-2560,-6860,14840,-25,428,-334,place_align_gasket
15765196,-2340,-6552,14980,-660,-299,-188,place_align_gasket
15765218,-2240,-6432,14804,-1330,-791,137,place_align_gasket
15765240,-2132,-6684,15076,-1600,-447,735,place_align_gasket
15765262,-2908,-6600,14876,-1726,127,1365,place_align_gasket
15765284,-3448,-6192,15152,-1602,265,1923,place_align_gasket
15765306,-3520,-6688,15816,-1173,59,1828,place_align_gasket
15765328,-3068,-6912,16012,-302,-249,1340,place_align_gasket
15765350,-3028,-6408,15380,227,-40,1028,place_align_gasket
15765372,-2884,-6992,15028,-199,-15,948,place_align_gasket
15765394,-1524,-8392,15944,544,572,690,place_align_gasket
15765416,-1280,-7520,15768,-47,1101,957,place_align_gasket
15765438,-2052,-7232,14924,-1554,1795,1421,place_align_gasket
15765460,-2912,-7808,13956,-3129,1512,1580,place_align_gasket
15765482,-2052,-8196,14348,-3181,1708,1682,place_align_gasket
15765504,-2048,-8472,14984,-2663,1000,1788,place_align_gasket
15765526,-2508,-8056,15196,-1688,270,1802,place_align_gasket
15765548,-3012,-8048,15072,-1067,-516,1352,place_align_gasket
15765570,-2648,-7628,14488,-1015,-560,847,place_align_gasket
15765592,-2352,-7684,14720,-734,-322,572,place_align_gasket
15765614,-2392,-7624,14848,-206,453,367,place_align_gasket
15765636,-2724,-7064,14748,-714,816,326,place_align_gasket
15765658,-3928,-6964,14040,-1689,1031,483,place_align_gasket
15765680,-4116,-6980,14556,-2064,945,377,place_align_gasket
15765702,-3716,-8384,14936,359,653,-396,place_align_gasket
15765724,-3324,-7216,14276,2616,1057,-1047,place_align_gasket
15765746,-3132,-6484,13824,1892,1747,-1275,place_align_gasket
15765768,-2872,-6556,14016,-108,2144,-1053,place_align_gasket
15765790,-2716,-7172,14320,-1618,1722,-731,place_align_gasket
15765812,-2484,-8328,14572,-940,938,-826,place_align_gasket
15765834,-2508,-8152,14180,1072,440,-908,place_align_gasket
15765856,-2612,-7220,14248,1729,148,-814,place_align_gasket
15765878,-2764,-6600,14864,346,-382,-468,place_align_gasket
15765900,-3104,-7156,15120,-1053,-715,-244,place_align_gasket
15765922,-3272,-7816,15304,-1371,-834,-282,place_align_gasket
15765944,-3488,-7816,15336,-858,-533,-28,place_align_gasket
15765966,-3540,-7912,14912,81,-555,21,place_align_gasket
15765988,-3460,-7588,14884,772,123,362,place_align_gasket
15766010,-3520,-7048,14704,876,180,643,place_align_gasket
15766032,-3620,-6744,14408,240,683,962,place_align_gasket
15766054,-3456,-6604,14396,-891,1259,1190,place_align_gasket
15766076,-3884,-7008,14296,-1331,1389,1058,place_align_gasket
15766098,-3764,-7612,14392,28,1080,418,place_align_gasket
15766120,-3416,-7388,14480,1195,918,-402,place_align_gasket
15766142,-3284,-6904,14676,930,690,-840,place_align_gasket
15766164,-3072,-7008,14672,-351,642,-662,place_align_gasket
15766186,-3064,-7880,14832,-960,699,-299,place_align_gasket
15766208,-2880,-8108,15116,-441,868,75,place_align_gasket
15766230,-3564,-7708,15140,563,757,552,place_align_gasket
15766252,-3604,-6724,14892,525,411,1031,place_align_gasket
15766274,-3740,-6508,14708,143,319,1260,place_align_gasket
15766296,-4076,-6380,14636,-278,112,1379,place_align_gasket
15766318,-3896,-7084,14616,71,256,1360,place_align_gasket
15766340,-3876,-6752,14644,1026,205,1080,place_align_gasket
15766362,-4144,-6484,14712,1164,442,819,place_align_gasket
15766384,-4192,-6156,14836,253,296,596,place_align_gasket
15766406,-4148,-6500,14660,-757,-33,379,place_align_gasket
15766428,-3976,-6956,14520,-1057,3,374,place_align_gasket
15766450,-3908,-7476,14384,93,413,438,place_align_gasket
15766472,-3872,-7072,14336,684,672,544,place_align_gasket
15766494,-3740,-6528,14376,537,363,715,place_align_gasket
15766516,-3860,-6316,14292,112,228,554,place_align_gasket
15766538,-3596,-6324,13936,-49,71,266,place_align_gasket
15766560,-3484,-6092,13708,-161,98,48,place_align_gasket
15766582,-3504,-6468,14312,-952,174,-38,place_align_gasket
15766604,-3568,-6836,14444,-1647,-82,-107,place_align_gasket
15766626,-3428,-7168,14324,-1290,-198,-269,place_align_gasket
15766648,-3420,-7340,14584,-504,-272,-393,place_align_gasket
15766670,-3292,-7012,14380,-429,-335,-284,place_align_gasket
15766692,-3592,-6696,14400,-992,439,-141,place_align_gasket
15766714,-3696,-6836,14720,-1703,118,-115,place_align_gasket
15766736,-3896,-7100,14588,-1739,-107,-161,place_align_gasket
15766758,-3760,-7432,14884,-831,-233,-308,place_align_gasket
15766780,-3524,-7168,14876,-132,-188,-306,place_align_gasket
15766802,-3492,-6732,14812,-450,-324,-229,place_align_gasket
15766824,-3300,-6996,14788,-1093,-146,-77,place_align_gasket
15766846,-3408,-7368,14920,-1474,144,-117,place_align_gasket
15766868,-3504,-7768,14764,-1043,-52,-172,place_align_gasket
15766890,-3464,-7684,14564,-393,-58,-169,place_align_gasket
15766912,-3432,-7384,14548,-232,-63,-96,place_align_gasket
15766934,-3196,-7348,14564,-349,-88,66,place_align_gasket
15766956,-3160,-7660,14632,-584,-67,225,place_align_gasket
15766978,-3144,-7700,14740,-432,64,316,place_align_gasket
15767000,-3192,-7752,14808,-121,53,434,place_align_gasket
15767022,-3044,-7296,14876,53,-46,447,place_align_gasket
15767044,-3012,-7024,14728,-287,109,477,place_align_gasket
15767066,-2944,-7120,14560,-629,252,575,place_align_gasket
15767088,-3220,-7000,14424,-954,85,434,place_align_gasket
15767110,-3480,-7044,14448,-748,345,163,place_align_gasket
15767132,-3600,-6816,14708,-379,622,92,place_align_gasket
15767154,-3668,-6332,14612,-313,363,-130,place_align_gasket
15767176,-3624,-6408,14848,-454,703,-235,place_align_gasket
15767198,-3356,-7648,15520,-109,1086,-222,place_align_gasket
15767220,-3080,-8788,16236,1250,598,-109,place_align_gasket
15767242,-2996,-8472,16344,1801,1177,551,place_align_gasket
15767264,-2640,-8244,15884,1372,1626,1247,place_align_gasket
15767286,-2868,-8540,15408,-89,2390,2267,place_align_gasket
15767308,-3160,-8956,15120,-928,2795,3509,place_align_gasket
15767330,-3624,-9272,14700,-208,2311,4521,place_align_gasket
15767352,-3636,-9296,14544,554,1757,5359,place_align_gasket
15767374,-3804,-9108,13760,768,876,6126,place_align_gasket
15767396,-4144,-9208,12892,330,-595,7609,place_align_gasket
15767418,-4604,-8972,11444,-915,-1636,9310,place_align_gasket
15767440,-4984,-9316,10524,-2334,-3047,10457,place_align_gasket
15767462,-4840,-8936,10536,-2910,-5130,11641,place_align_gasket
15767484,-5164,-7840,11184,-2256,-7900,13016,place_align_gasket
15767506,-5144,-7004,11244,-989,-10963,14120,place_align_gasket
15767528,-4692,-6432,10964,123,-13565,14793,place_align_gasket
15767550,-3932,-3908,12204,538,-14990,14963,place_align_gasket
15767572,-3584,-5020,12448,-313,-16967,15242,place_align_gasket
15767594,-2568,-2736,13852,-1654,-17988,15055,place_align_gasket
15767616,-1420,-3352,16012,-455,-18101,14728,place_align_gasket
15767638,-216,-5200,15548,2444,-17327,12663,place_align_gasket
15767660,364,-4756,15916,6808,-12797,9385,place_align_gasket
15767682,732,-3896,17796,7980,-8894,7167,place_align_gasket
15767704,1208,-3180,18764,5760,-8071,6824,place_align_gasket
15767726,1104,-3012,19548,2499,-7999,7905,place_align_gasket
15767748,888,-3740,18156,871,-7477,8236,place_align_gasket
15767770,1240,-4236,16600,-541,-6786,7038,place_align_gasket
15767792,1724,-4744,17492,-73,-6546,5410,place_align_gasket
15767814,1848,-4996,18468,270,-7444,4885,place_align_gasket
15767836,1868,-5524,16716,1181,-9916,3974,place_align_gasket
15767858,2584,-4240,14740,5056,-10239,2812,place_align_gasket
15767880,3288,-3268,13532,6619,-8939,2765,place_align_gasket
15767902,3196,-2848,13380,5047,-7522,3113,place_align_gasket
15767924,5228,-4176,15832,-740,-5040,4283,place_align_gasket
15767946,3544,-3112,18308,-1940,-3426,3734,place_align_gasket
15767968,4280,-6152,17768,-2386,-4412,3357,place_align_gasket
15767990,2576,-5940,17748,3492,-2639,1430,place_align_gasket
15768012,3364,-4348,16696,11316,-2460,96,place_align_gasket
15768034,2796,-620,16860,13660,-1808,-42,place_align_gasket
15768056,2212,3360,19816,1764,666,2339,place_align_gasket
15768078,2868,-1364,17908,-1875,-3152,1653,place_align_gasket
15768100,4812,1144,19276,643,39,596,place_align_gasket
15768122,3940,916,19292,-2071,-551,839,place_align_gasket
15768144,3604,1496,17880,-6012,138,-951,place_align_gasket
15768166,2552,-2052,15216,-9308,-406,-1680,place_align_gasket
15768188,4272,-1272,15060,-8366,1115,-1224,place_align_gasket
15768210,2792,-1720,13216,-8048,2099,-2238,place_align_gasket
15768232,2480,-5376,15504,-7003,861,-1687,place_align_gasket
15768254,3928,-4028,15304,-5851,-382,-2126,place_align_gasket
15768276,4080,-4832,14764,-7603,446,-1361,place_align_gasket
15768298,2604,-7292,14484,88,217,-2279,place_align_gasket
15768320,2612,-5928,14124,5944,-811,-2694,place_align_gasket
15768342,2620,-3744,15056,10842,-222,-3329,place_align_gasket
15768364,3244,-1304,15512,8722,198,-2986,place_align_gasket
15768386,2360,-420,13816,4106,738,-1890,place_align_gasket
15768408,2684,-3304,13616,4044,2510,-1414,place_align_gasket
15768430,2744,-3220,13476,8727,2894,-2186,place_align_gasket
15768452,5004,-1216,17336,8681,4869,-633,place_align_gasket
15768474,3240,-1784,19700,320,3805,360,place_align_gasket
15768496,3600,-4392,18460,-1264,2235,-569,place_align_gasket
15768518,3296,-2904,17800,512,2263,71,place_align_gasket
15768540,3116,-1908,15712,841,1605,1471,place_align_gasket
15768562,2720,-576,15028,-90,2082,2725,place_align_gasket
15768584,2520,-4012,16912,-2131,-928,3738,place_align_gasket
15768606,1788,-988,21216,-1704,-699,2352,place_align_gasket
15768628,3820,1280,20768,-1817,-759,2602,place_align_gasket
15768650,2520,580,19780,-3597,147,3360,place_align_gasket
15768672,2348,692,16108,-6207,-540,2576,place_align_gasket
15768694,2448,-2316,13728,-3852,1257,1305,place_align_gasket
15768716,2028,-620,13732,1666,3532,404,place_align_gasket
15768738,1500,1704,17904,1540,5524,271,place_align_gasket
15768760,1644,-1336,20208,-4656,2869,-1000,place_align_gasket
15768782,1796,-2844,18080,-6247,2997,-1378,place_align_gasket
15768804,2240,-4596,17468,-4286,5358,-1472,place_align_gasket
15768826,1220,-2652,18044,-4476,8699,-1446,place_align_gasket
15768848,180,-1472,17924,-7065,10700,-1334,place_align_gasket
15768870,-468,-2812,17164,-12634,13011,-1430,place_align_gasket
15768892,-640,-2788,17488,-20684,13697,-1588,place_align_gasket
15768914,-1908,-6452,15420,-25465,12140,-149,place_align_gasket
15768936,-3344,-7656,13392,-23779,12184,120,place_align_gasket
15768958,-3720,-9352,12172,-19270,13528,132,place_align_gasket
15768980,-3244,-8780,12504,-12184,14756,427,place_align_gasket
15769002,-3980,-8644,11012,-8694,16103,319,place_align_gasket
15769024,-4036,-8640,10236,-6945,18239,20,place_align_gasket
15769046,-4020,-11960,11840,-955,18753,-613,place_align_gasket
15769068,-5372,-10896,12428,5314,18246,-485,place_align_gasket
15769090,-5636,-8588,13100,6985,18982,1017,place_align_gasket
15769112,-6636,-9896,13020,7237,18054,2545,place_align_gasket
15769134,-8264,-9080,10952,10703,15949,2740,place_align_gasket
15769156,-8160,-7200,10908,15442,14585,2401,place_align_gasket
15769178,-7900,-6784,13784,15559,12103,695,place_align_gasket
15769200,-7060,-6124,13740,15209,9654,338,place_align_gasket
15769222,-6508,-6324,11560,18457,9476,2017,place_align_gasket
15769244,-7692,-2956,12692,21108,9183,3506,place_align_gasket
15769266,-9176,-1560,14816,18947,7351,2531,place_align_gasket
15769288,-9084,-1388,16012,15861,3320,-1095,place_align_gasket
15769310,-8820,-896,14840,8577,371,-3674,place_align_gasket
15769332,-7944,-456,13336,3600,-376,-4073,place_align_gasket
15769354,-7816,-868,11320,3998,998,-2539,place_align_gasket
15769376,-8576,-2324,11952,7317,1878,-2591,place_align_gasket
15769398,-8884,-2140,14860,7365,-311,-3932,place_align_gasket
15769420,-8704,-2256,14700,2110,-2088,-5082,place_align_gasket
15769442,-7864,-2760,12804,-988,-2256,-4929,place_align_gasket
15769464,-7976,-2804,10600,322,-949,-3440,place_align_gasket
15769486,-8188,-3424,11352,2934,53,-2506,place_align_gasket
15769508,-7580,-3048,12096,2110,-1088,-2850,place_align_gasket
15769530,-7188,-3812,11556,-256,-3238,-3322,place_align_gasket
15769552,-7272,-2532,10560,-1204,-4461,-2800,place_align_gasket
15769574,-6944,-3240,11896,-2136,-5562,-2971,place_align_gasket
15769596,-6272,-4052,14488,-2919,-6451,-1640,place_align_gasket
15769618,-6404,-3116,14936,-4037,-6037,-843,place_align_gasket
15769640,-6876,-3608,15452,-6000,-5302,-250,place_align_gasket
15769662,-7480,-3592,17092,-8186,-5138,59,place_align_gasket
15769684,-6880,-3936,17532,-8134,-5463,189,place_align_gasket
15769706,-6900,-4696,17248,-7891,-4921,617,place_align_gasket
15769728,-6548,-4384,16996,-9183,-4101,1215,place_align_gasket
15769750,-6120,-3628,16156,-9623,-2515,1348,place_align_gasket
15769772,-7548,-5368,15644,-11782,-2206,1648,place_align_gasket
15769794,-6532,-6712,12712,-9649,-3915,1106,place_align_gasket
15769816,-5864,-7424,12724,-7763,-4345,762,place_align_gasket
15769838,-5504,-5828,13804,-7268,-3287,680,place_align_gasket
15769860,-5008,-6756,14872,-8277,-2346,-193,place_align_gasket
15769882,-5400,-6160,14140,-9616,-464,-902,place_align_gasket
15769904,-6376,-6872,14792,-8899,-2062,-873,place_align_gasket
15769926,-6816,-8496,13364,-7042,-3752,-1545,place_align_gasket
15769948,-6832,-6916,14140,-11472,-32,-1098,place_align_gasket
15769970,-7760,-10868,13880,-13500,111,-1906,place_align_gasket
15769992,-6292,-9856,13932,-9345,161,-1060,place_align_gasket
15770014,-5904,-10012,12108,-6458,571,-467,place_align_gasket
15770036,-4808,-9880,10324,-6777,2039,-179,place_align_gasket
15770058,-5492,-10132,12784,-5111,1616,399,place_align_gasket
15770080,-5716,-11968,14056,-3168,-1167,380,place_align_gasket
15770102,-5532,-10280,11840,2774,-3514,-234,place_align_gasket
15770124,-5592,-8912,10652,2120,-2666,-875,place_align_gasket
15770146,-6020,-9528,9992,-2230,-1597,-1114,place_align_gasket
15770168,-5524,-10840,11344,-4069,215,-1936,place_align_gasket
15770190,-6560,-11216,11624,-3914,1733,-2664,place_align_gasket
