time_ms,ax,ay,az,gx,gy,gz,label
4672553,-2136,-1708,16520,-2322,2555,683,wrench_tighten
4672575,-804,-2372,16412,-9691,2236,-322,wrench_tighten
4672597,1364,-8900,17584,-14797,3483,920,wrench_tighten
4672619,932,-14328,18012,-10521,7769,4715,wrench_tighten
4672641,-876,-12616,18608,-6211,12707,8322,wrench_tighten
4672663,-1500,-9980,20292,-11763,16308,12307,wrench_tighten
4672685,-4764,-11004,17008,-18446,14925,15917,wrench_tighten
4672707,-7384,-11840,13968,-19396,11372,18316,wrench_tighten
4672729,-8076,-11448,11544,-19830,6867,20232,wrench_tighten
4672751,-7556,-8804,8932,-22656,2699,21491,wrench_tighten
4672773,-9552,-9460,8788,-28944,-1510,22319,wrench_tighten
4672795,-9180,-10420,5780,-30388,-6324,19902,wrench_tighten
4672817,-9424,-11172,5948,-23264,-7820,18111,wrench_tighten
4672839,-8148,-8516,9144,-14132,-7833,15577,wrench_tighten
4672861,-7300,-5308,13056,-12775,-6754,14222,wrench_tighten
4672883,-7736,-5972,12768,-14276,-5486,12202,wrench_tighten
4672905,-8176,-6180,11836,-13228,-5710,9551,wrench_tighten
4672927,-7864,-6328,9572,-11828,-6042,6884,wrench_tighten
4672949,-7304,-6416,10560,-7911,-5270,6793,wrench_tighten
4672971,-8064,-6344,12588,-4998,-4636,6578,wrench_tighten
4672993,-6448,-8884,12304,-3784,-3094,5400,wrench_tighten
4673015,-7900,-11124,12816,4356,-3522,3884,wrench_tighten
4673037,-6196,-4564,11228,11944,-1442,2292,wrench_tighten
4673059,-8440,-3464,12816,6906,2835,3422,wrench_tighten
4673081,-9424,-7096,12188,1016,957,1036,wrench_tighten
4673103,-9588,-7884,11420,1551,690,-824,wrench_tighten
4673125,-7912,-8040,11676,1799,1594,-879,wrench_tighten
4673147,-7396,-9204,11092,2299,2564,-1054,wrench_tighten
4673169,-7400,-8232,12196,4161,3473,-1469,wrench_tighten
4673191,-7260,-6464,13684,1220,5364,-1927,wrench_tighten
4673213,-8148,-8892,12332,-978,6734,-1997,wrench_tighten
4673235,-8252,-9736,11392,3271,6998,-2126,wrench_tighten
4673257,-8936,-10244,10448,8873,7425,-1739,wrench_tighten
4673279,-9672,-9964,10656,12626,6643,-1674,wrench_tighten
4673301,-9700,-9332,10084,11935,5965,-2392,wrench_tighten
4673323,-10556,-8532,9824,9834,4893,-2996,wrench_tighten
4673345,-10972,-8252,8724,8693,3675,-4105,wrench_tighten
4673367,-11392,-5784,6888,7912,1818,-4807,wrench_tighten
4673389,-11104,-4572,6320,6386,634,-4699,wrench_tighten
4673411,-10360,-7296,6956,6061,-1175,-3234,wrench_tighten
4673433,-10452,-8516,8392,7311,-2161,-2004,wrench_tighten
4673455,-10388,-7536,10284,7715,-2166,-1839,wrench_tighten
4673477,-10292,-6184,10912,4911,-1320,-1818,wrench_tighten
4673499,-10992,-5556,10384,1368,-2186,-1083,wrench_tighten
4673521,-11448,-6424,10488,-3300,-3865,-685,wrench_tighten
4673543,-11672,-8160,11228,-3795,-3866,-976,wrench_tighten
4673565,-10736,-8640,11680,-1769,-2527,-518,wrench_tighten
4673587,-10604,-6876,11396,-533,-1060,314,wrench_tighten
4673609,-10168,-7200,11552,-1031,-1208,1457,wrench_tighten
4673631,-10028,-7776,11920,-1752,-1280,1537,wrench_tighten
4673653,-9672,-7212,12608,-2353,-462,926,wrench_tighten
4673675,-9344,-7348,12412,-3031,-262,559,wrench_tighten
4673697,-9140,-7880,12096,-1557,-771,218,wrench_tighten
4673719,-8368,-8912,12308,5810,-1421,51,wrench_tighten
